,dwave1,dstrength1
1,11.794234599999982,0.0007000000000000001
2,23.454774499999985,0.0009000000000000006
3,29.891633999999954,0.002300000000000001
4,38.77851779999992,0.003000000000000001
5,77.6047726999999,0.004300000000000001
6,90.63586679999992,0.005400000000000001
7,92.22021069999994,0.007100000000000001
8,122.74701169999992,0.008800000000000002
9,144.9415102999999,0.0264
10,181.39748529999986,0.03
11,185.19514649999985,0.030899999999999997
12,230.55604319999986,0.0331
13,237.21585129999983,0.033699999999999994
14,247.8533640999998,0.033699999999999994
15,293.2945507999998,0.036899999999999995
16,336.0714086999998,0.0382
17,339.45472359999974,0.0402
18,354.6750893999997,0.0411
19,391.9883326999998,0.0424
20,397.9602911999998,0.0427
21,399.8069472999998,0.0429
22,411.15065519999985,0.0449
23,454.68032239999985,0.0465
24,466.9267403999998,0.048799999999999996
25,496.2559162999998,0.048999999999999995
26,498.29138419999975,0.048999999999999995
27,516.1550368999997,0.0508
28,550.8526548999997,0.053899999999999997
29,655.4101189999998,0.0586
30,692.5153017999997,0.0603
31,736.6947806999997,0.0622
32,755.0946930999997,0.065
33,767.2926659999997,0.0664
34,800.5235629999997,0.0701
35,804.9818670999997,0.0705
36,815.4448458999997,0.07189999999999999
37,819.8361488999997,0.07229999999999999
38,829.6435800999997,0.07359999999999998
39,833.8793048999996,0.07359999999999998
40,840.4790700999996,0.07569999999999999
41,844.5763814999996,0.07579999999999999
42,846.3638263999995,0.0765
43,856.1012366999995,0.0778
44,868.5607723999996,0.08009999999999999
45,899.9779508999995,0.08259999999999999
46,914.1797201999996,0.08579999999999999
47,933.4181650999996,0.08639999999999999
48,950.8714987999996,0.0871
49,970.2944668999996,0.0912
50,971.6384753999996,0.0912
51,987.0516094999996,0.0941
52,998.1031717999996,0.0944
53,1012.4865386999995,0.0946
54,1033.4698073999996,0.095
55,1061.5187294999996,0.098
56,1077.5944584999997,0.09860000000000001
57,1103.1868183999998,0.10120000000000001
58,1114.8624207999997,0.10360000000000001
59,1114.8844587999997,0.10550000000000001
60,1131.9503959999997,0.1073
61,1135.0348600999996,0.11
62,1146.7104624999997,0.1124
63,1169.4231046999998,0.1151
64,1186.8279838999997,0.1175
65,1222.1707877999997,0.1215
66,1249.7506846999997,0.1225
67,1262.6465287999997,0.124
68,1318.8330119999996,0.1243
69,1320.3368507999996,0.1245
70,1336.1564670999996,0.1267
71,1357.9814568999996,0.1277
72,1365.2338343999995,0.1389
73,1365.6208731999996,0.14049999999999999
74,1401.9848684999995,0.1407
75,1438.2503199999994,0.1459
76,1439.5030398999993,0.1501
77,1486.1243910999992,0.1605
78,1506.1825922999992,0.1641
79,1508.6245125999992,0.1644
80,1547.9071907999992,0.1667
81,1560.676171399999,0.1679
82,1579.294989499999,0.1698
83,1588.138903099999,0.171
84,1607.171686399999,0.17140000000000002
85,1638.843777699999,0.17430000000000004
86,1693.974320099999,0.17900000000000005
87,1711.500351599999,0.18110000000000004
88,1739.5490367999992,0.18290000000000003
89,1766.3725752999992,0.18680000000000002
90,1793.5164200999993,0.18950000000000003
91,1811.6247293999993,0.19740000000000002
92,1824.9420540999993,0.1975
93,1827.4298189999993,0.2063
94,1837.3684917999992,0.2088
95,1850.3724153999992,0.21020000000000003
96,1851.1463839999992,0.21840000000000004
97,1863.9391826999993,0.22250000000000003
98,1904.9974028999993,0.22430000000000003
99,1923.4459458999993,0.22920000000000001
100,1945.4433116999994,0.2295
