iteration,acquired_loocv_r2
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,-1.2249538750539304
12,-1.4611543538598075
13,-1.3505374736392604
14,-1.2768103680358913
15,-1.082934977940008
16,-1.112959699284237
17,-0.47710817137252926
18,-0.6924308365853576
19,-0.8294934617662062
20,-0.7372330235591776
21,-0.5963564748768357
22,-0.549672344156399
23,-0.4222419972510085
24,-0.4375095726599395
25,-0.29073510745562303
26,-0.3528234953373932
27,-0.2875167535297468
28,-0.18742214974700355
29,-0.189863874356491
30,-0.19500077409890615
31,-0.18572931750880894
32,-0.1803872516559284
33,-0.12385812860325451
34,-0.09776694704275146
35,-0.4224364214288048
36,-0.45539081871078
37,-0.3001781627839916
38,-0.1754290550917505
39,-0.2009114436054309
40,-0.15528467675808377
41,-0.23822920083791177
42,-0.24875393145950453
43,-0.18652960143092157
44,-0.13810866430597163
45,-0.1725954448449516
46,-0.17740366217572578
47,-0.1797900249981884
48,-0.16181247903777984
49,-0.16639913737881895
50,-0.1496956156163607
