iteration,lcb,rand
1,0.6,0.6
2,0.6,0.7
3,0.7,0.7
4,0.9,0.8
5,1.2,1.0
6,1.4,1.0
7,1.5,1.0
8,1.6,1.0
9,2.1,1.1
10,2.3,1.1
11,2.6,1.1
12,3.0,1.2
13,3.1,1.4
14,3.3,1.4
15,3.6,1.5
16,3.8,1.6
17,4.1,1.6
18,4.2,1.6
19,4.3,1.8
20,4.5,1.9
21,4.8,2.0
22,5.2,2.0
23,5.8,2.2
24,5.8,2.3
25,5.9,2.3
26,6.1,2.4
27,6.4,2.5
28,6.7,2.6
29,6.7,2.8
30,7.1,2.8
31,7.4,3.1
32,7.6,3.2
33,7.8,3.3
34,8.0,3.3
35,8.2,3.3
36,8.4,3.4
37,8.8,3.7
38,9.2,3.8
39,9.5,3.8
40,9.8,3.8
41,10.0,3.9
42,10.1,4.2
43,10.2,4.2
44,10.5,4.2
45,10.6,4.5
46,11.0,4.7
47,11.2,4.7
48,11.3,4.9
49,11.5,5.1
50,11.5,5.2
51,11.6,5.3
52,11.7,5.4
53,11.8,5.7
54,11.9,5.9
55,12.2,5.9
56,12.4,5.9
57,12.7,5.9
58,12.9,6.0
59,13.2,6.0
60,13.3,6.1
61,13.5,6.2
62,14.0,6.2
63,14.2,6.3
64,14.5,6.3
65,14.7,6.4
66,15.0,6.4
67,15.1,6.6
68,15.2,6.7
69,15.3,7.2
70,15.3,7.2
71,15.4,7.2
72,15.5,7.3
73,15.6,7.4
74,15.8,7.5
75,16.1,7.7
76,16.2,7.9
77,16.3,8.1
78,16.4,8.3
79,16.4,8.4
80,16.5,8.4
81,16.6,8.5
82,16.8,8.6
83,16.8,8.8
84,17.0,9.2
85,17.0,9.3
86,17.1,9.4
87,17.2,9.6
88,17.4,9.6
89,17.5,9.7
90,17.6,9.8
91,17.7,10.0
92,17.8,10.1
93,17.9,10.2
94,18.0,10.4
95,18.1,10.4
96,18.3,10.5
97,18.4,10.6
98,18.6,10.9
99,18.8,10.9
100,18.9,10.9
101,19.0,10.9
102,19.1,11.0
103,19.2,11.0
104,19.2,11.0
105,19.4,11.1
106,19.4,11.2
107,19.5,11.3
108,19.6,11.3
109,19.7,11.5
110,19.9,11.8
111,20.0,11.8
112,20.1,12.0
113,20.2,12.1
114,20.3,12.1
115,20.3,12.1
116,20.4,12.3
117,20.4,12.4
118,20.5,12.5
119,20.6,12.6
120,20.7,12.6
121,20.7,12.7
122,20.9,12.9
123,21.0,13.0
124,21.0,13.1
125,21.0,13.1
126,21.0,13.2
127,21.1,13.4
128,21.2,13.5
129,21.3,13.7
130,21.4,13.8
131,21.4,13.8
132,21.4,13.9
133,21.6,14.0
134,21.6,14.1
135,21.6,14.2
136,21.6,14.2
137,21.6,14.2
138,21.7,14.3
139,21.7,14.5
140,21.8,14.6
141,21.8,14.8
142,21.8,15.0
143,22.0,15.1
144,22.1,15.2
145,22.1,15.3
146,22.1,15.4
147,22.2,15.6
148,22.2,15.7
149,22.2,15.9
150,22.2,15.9
151,22.3,16.0
152,22.3,16.1
153,22.3,16.1
154,22.3,16.1
155,22.3,16.2
156,22.3,16.3
157,22.3,16.5
158,22.3,16.6
159,22.3,16.8
160,22.3,17.1
161,22.3,17.3
162,22.3,17.4
163,22.3,17.6
164,22.3,17.7
165,22.3,17.9
166,22.3,17.9
167,22.3,18.0
168,22.3,18.1
169,22.3,18.1
170,22.3,18.3
171,22.4,18.3
172,22.4,18.4
173,22.6,18.5
174,22.7,18.7
175,22.7,18.7
176,22.7,18.7
177,22.7,18.9
178,22.8,19.1
179,22.8,19.2
180,22.8,19.2
181,22.9,19.4
182,23.1,19.6
183,23.3,19.6
184,23.3,19.7
185,23.3,19.8
186,23.5,19.8
187,23.7,19.9
188,24.0,20.0
189,24.0,20.0
190,24.1,20.0
191,24.3,20.1
192,24.3,20.4
193,24.3,20.5
194,24.5,20.6
195,24.7,20.6
196,25.0,20.8
197,25.3,20.8
198,25.3,20.8
199,25.3,20.8
200,25.4,21.1
