iteration,lcb,ei,rand
1,0.024615384615384615,0.024615384615384615,0.023076923076923075
2,0.03384615384615384,0.03384615384615384,0.024615384615384612
3,0.035384615384615375,0.035384615384615375,0.027692307692307686
4,0.03846153846153846,0.03846153846153846,0.02923076923076923
5,0.047692307692307694,0.047692307692307694,0.04000000000000001
6,0.05230769230769229,0.05230769230769229,0.044615384615384605
7,0.05692307692307692,0.05846153846153846,0.047692307692307694
8,0.06307692307692309,0.06307692307692309,0.05076923076923077
9,0.06923076923076925,0.06923076923076925,0.05538461538461539
10,0.07384615384615385,0.07384615384615385,0.05538461538461539
11,0.07692307692307693,0.07692307692307693,0.05692307692307694
12,0.0907692307692308,0.0907692307692308,0.058461538461538474
13,0.10153846153846156,0.10153846153846156,0.06307692307692309
14,0.10615384615384622,0.10615384615384622,0.0676923076923077
15,0.11538461538461546,0.11692307692307699,0.07076923076923078
16,0.12769230769230774,0.1292307692307693,0.07384615384615385
17,0.13230769230769235,0.13230769230769235,0.07692307692307693
18,0.14461538461538467,0.14461538461538467,0.08000000000000002
19,0.15384615384615385,0.15384615384615385,0.08307692307692309
20,0.16461538461538464,0.16769230769230767,0.0876923076923077
21,0.17384615384615384,0.1769230769230769,0.09076923076923078
22,0.18769230769230766,0.19076923076923072,0.09230769230769231
23,0.20307692307692307,0.20153846153846153,0.09384615384615386
24,0.21538461538461537,0.21384615384615382,0.1
25,0.22615384615384618,0.2246153846153846,0.10153846153846154
26,0.23230769230769233,0.23384615384615387,0.10615384615384615
27,0.23846153846153847,0.24,0.1123076923076923
28,0.24307692307692308,0.24307692307692308,0.1153846153846154
29,0.2476923076923077,0.24923076923076923,0.11846153846153847
30,0.25076923076923074,0.25230769230769234,0.12153846153846155
31,0.25846153846153846,0.26153846153846155,0.1230769230769231
32,0.27384615384615385,0.27384615384615385,0.12461538461538463
33,0.28153846153846157,0.2815384615384615,0.13076923076923078
34,0.2892307692307693,0.28769230769230775,0.13846153846153844
35,0.2984615384615385,0.29846153846153844,0.1461538461538461
36,0.3046153846153847,0.3046153846153846,0.15076923076923074
37,0.3153846153846154,0.3123076923076923,0.15538461538461537
38,0.32307692307692304,0.31999999999999995,0.15692307692307692
39,0.3261538461538461,0.3246153846153846,0.16307692307692306
40,0.3338461538461538,0.3292307692307692,0.16307692307692306
41,0.34153846153846146,0.33846153846153837,0.16769230769230772
42,0.3492307692307692,0.343076923076923,0.18
43,0.3538461538461538,0.35230769230769227,0.18
44,0.35846153846153844,0.3553846153846154,0.1846153846153846
