,dwave1,dstrength1,,dwave_distance
1,28.512737543999997,0.003032,,28.512737543999997
2,50.69421486200002,0.005468,,22.18147732
3,70.28083256199999,0.007514,,19.5866177
4,91.63511470399997,0.00979,,21.35428214
5,114.30018394599998,0.013175999999999997,,22.66506924
6,136.54521295400002,0.015429999999999998,,22.24502901
7,163.00487382800003,0.017995999999999998,,26.45966087
8,186.7616598620001,0.020414,,23.75678603
9,208.65877311400007,0.022955999999999997,,21.89711325
10,227.80639999000002,0.024761999999999992,,19.14762688
11,251.6951425,0.027037999999999996,,23.8887425
12,270.4621145,0.02907,,18.76697202
13,289.8329620079999,0.031252,,19.3708475
14,313.7297179379999,0.033748,,23.89675593
15,335.63158648999996,0.035696,,21.90186855
16,356.67145877599995,0.03826,,21.03987229
17,379.4784449,0.040720000000000006,,22.80698613
18,401.9820758,0.043742,,22.50363089
19,421.9664592719998,0.046221999999999985,,19.98438348
20,443.8321921,0.048948,,21.86573279
21,463.640106,0.050938,,19.80791395
22,485.0245802579999,0.053376,,21.38447424
23,508.3835226819999,0.055624,,23.35894242
24,534.8538678639999,0.058114,,26.47034518
25,560.0832684099998,0.060958,,25.22940055
26,584.7310276399998,0.063278,,24.64775923
27,609.5500247559997,0.065036,,24.81899712
28,626.0597211519998,0.06706,,16.5096964
29,643.0630981679999,0.069356,,17.00337702
30,663.1082149,0.071824,,20.04511678
31,688.9213988,0.074148,,25.81318385
32,711.6736723359998,0.075744,,22.75227354
33,735.4045675839996,0.077484,,23.73089525
34,757.3325582,0.079206,,21.92799059
35,776.1409314219999,0.081506,,18.80837324
36,794.1120785860002,0.082714,,17.97114716
37,813.3710984979998,0.08448,,19.25901991
38,836.4587529239996,0.086558,,23.08765443
39,855.3510361019996,0.088484,,18.89228318
40,875.8744286999998,0.090668,,20.5233926
41,893.7359236839999,0.092376,,17.86149498
42,912.5346046559998,0.093966,,18.79868097
43,931.3346351139995,0.095458,,18.80003046
44,950.1223011400001,0.097416,,18.78766603
45,967.8650851459997,0.099444,,17.74278401
46,990.2444976299998,0.10125399999999997,,22.37941248
47,1013.359691,0.10430199999999999,,23.11519346
48,1034.5488489319996,0.106686,,21.18915784
49,1055.5378911359994,0.10903600000000001,,20.9890422
50,1076.659559,0.110946,,21.12166755
51,1094.5455374599994,0.11301,,17.88597878
52,1115.2140079380001,0.11467799999999999,,20.66847048
53,1138.2331094499998,0.11722400000000002,,23.01910151
54,1158.9042245239998,0.11929600000000001,,20.67111507
55,1178.8584759699997,0.12208000000000004,,19.95425145
56,1197.8785661739998,0.12403799999999997,,19.0200902
57,1219.9206426619996,0.12563,,22.04207649
58,1243.3495318279997,0.12788200000000002,,23.42888917
59,1265.7089365919994,0.13065,,22.35940476
60,1289.3070113019999,0.13288199999999997,,23.59807471
61,1321.4338299319995,0.135294,,32.12681863
62,1347.796605,0.13757400000000003,,26.36277469
63,1368.023758,0.13916600000000004,,20.22715346
64,1394.943707,0.141932,,26.91994876
65,1416.4297030619994,0.14416800000000002,,21.48599622
66,1444.5595099959996,0.146686,,28.12980693
67,1466.0041459299994,0.14964,,21.44463593
68,1489.474546,0.15241000000000005,,23.47039998
69,1504.5866679579997,0.15413600000000005,,15.11212205
70,1529.4937291760004,0.15633999999999998,,24.90706122
71,1552.5395052199995,0.15924000000000008,,23.04577604
72,1578.7352697479998,0.161606,,26.19576453
73,1606.482448,0.163894,,27.7471779
74,1626.9241443540002,0.16636800000000007,,20.4416967
75,1653.0757970099999,0.16851400000000005,,26.15165266
76,1670.0348487619995,0.17116800000000001,,16.95905175
77,1690.3516662799998,0.17372200000000004,,20.31681752
78,1709.856859,0.17625600000000005,,19.50519286
79,1734.5728547299993,0.17807400000000004,,24.71599559
80,1753.9951499920003,0.179758,,19.42229526
81,1776.1161735740002,0.1828280000000001,,22.12102358
82,1803.4109000980002,0.18478200000000006,,27.29472652
83,1830.816388,0.18787000000000012,,27.4054882
84,1856.0338026020002,0.19044799999999998,,25.2174143
85,1879.7375049159994,0.19361200000000003,,23.70370231
86,1906.0306692619988,0.19681200000000001,,26.29316435
87,1929.9210690720001,0.19934600000000002,,23.89039981
88,1957.256078,0.20208399999999999,,27.33500914
89,1979.174303,0.20458800000000005,,21.9182252
90,2006.4819841479996,0.20680600000000005,,27.30768074
91,2029.1065915179993,0.20873000000000008,,22.62460737
92,2053.5845548499997,0.2110860000000001,,24.47796333
93,2077.5100248539993,0.21312200000000003,,23.92547
94,2101.132063,0.2160740000000001,,23.62203828
95,2122.3737710159994,0.2191220000000001,,21.24170788
96,2154.7659627679996,0.22119200000000006,,32.39219175
97,2180.7337342739997,0.22352800000000003,,25.96777151
98,2204.1009520179996,0.226442,,23.36721774
99,2227.788372,0.23002800000000015,,23.68742031
100,2255.900187719999,0.232332,,28.11181539
101,2278.2866074939993,0.23533600000000005,,22.38641977
102,2299.0619379979994,0.23834000000000002,,20.7753305
103,2327.1295023519992,0.24061200000000008,,28.06756435
104,2353.260786,0.24364200000000003,,26.13128336
105,2377.499608865999,0.24636800000000011,,24.23882315
106,2409.7252577579998,0.24926800000000007,,32.22564889
107,2434.4102399259996,0.25201200000000007,,24.68498217
108,2457.3040307879987,0.2548660000000001,,22.89379086
109,2477.2667650159997,0.2575520000000001,,19.96273423
110,2499.9703031879994,0.26072800000000007,,22.70353817
111,2531.0188629259997,0.26421800000000006,,31.04855974
112,2558.305559,0.2671840000000001,,27.28669607
113,2587.470026,0.269864,,29.16446726
114,2610.973113,0.27230600000000005,,23.50308691
115,2633.016844453999,0.27452600000000005,,22.04373129
