,dwave1,dstrength1,,dwave_distances
192,4620.549571,0.492084,,29.93803713
193,4647.296454,0.494198,,26.74688241
194,4673.595416,0.497172,,26.29896227
195,4702.597346,0.500386,,29.00192969
196,4728.733109,0.503678,,26.13576305
197,4754.687401,0.50704,,25.95429166
198,4782.676045,0.510216,,27.98864423
199,4808.174251,0.513028,,25.49820596
200,4837.60942,0.515828,,29.43516928
201,4869.104308,0.520242,,31.49488797
202,4899.589774,0.523766,,30.48546568
203,4921.993222,0.526372,,22.4034488
204,4955.552341,0.529242,,33.55911876
205,4984.061692,0.531552,,28.5093507
206,5010.573938,0.53476,,26.51224647
207,5036.186254,0.53791,,25.61231589
208,5068.346982,0.540826,,32.1607275
209,5098.966243,0.544316,,30.61926133
210,5131.611789,0.547422,,32.64554583
211,5158.60019,0.551106,,26.98840131
212,5184.56737,0.554628,,25.96717951
213,5218.05188,0.557898,,33.48450999
214,5255.512509,0.560768,,37.46062947
215,5287.85662,0.563744,,32.34411122
216,5320.198412,0.566998,,32.34179192
217,5358.237881,0.570544,,38.03946855
218,5393.271537,0.573884,,35.03365607
219,5422.210432,0.576694,,28.93889472
220,5457.13153,0.579322,,34.92109808
221,5499.40468,0.582734,,42.2731505
222,5533.036545,0.586684,,33.63186516
223,5570.173057,0.589608,,37.13651136
224,5603.769147,0.59258,,33.59609005
225,5634.600927,0.595844,,30.83178052
226,5664.622793,0.599938,,30.02186576
227,5697.423828,0.603796,,32.80103478
228,5740.485657,0.607982,,43.06182934
229,5780.882521,0.612296,,40.39686425
230,5824.2131,0.61609,,43.33057854
231,5870.530299,0.62066,,46.31719897
232,5927.88327,0.625674,,57.35297136
233,5984.586704,0.630404,,56.70343385
234,6044.272758,0.63474,,59.68605341
235,6100.873379,0.63987,,56.6006214
236,6157.461523,0.644608,,56.58814392
237,6210.403175,0.650804,,52.94165228
238,6259.902262,0.655194,,49.49908691
239,6311.153572,0.66076,,51.25131011
240,6369.818955,0.666104,,58.66538309
241,6440.972685,0.670234,,71.15372952
242,6516.427813,0.675312,,75.45512837
243,6576.108835,0.683118,,59.68102189
244,6632.449973,0.688238,,56.34113747
245,6694.564787,0.698068,,62.11481457
246,6766.786272,0.708748,,72.22148524
247,6795.747639,0.724382,,28.96136623
248,6861.296907,0.729728,,65.54926881
249,6985.243059,0.733466,,123.9461517
250,7112.186862,0.737124,,126.9438029
251,7272.218385,0.740194,,160.0315229
