iteration,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50
15,-1.1621858507731855,-1.1925095349143364,-0.8329593235239208,-0.7901055496985135,-0.9611345834211459,-0.9656891105994772,-0.8066178546424844,-1.2578243014774084,-0.947789632378153,-0.8423889238128285,-0.7993149834571392,-2.076440875184054,-0.7560727325336908,-0.7425290262988843,-8.122773838884905,-1.2843516515127054,-1.314933269309278,-0.9424319252604972,-1.184410200092539,-1.0589786645913417,-1.7814751308782164,-0.8009153349306234,-1.2601372327878568,-1.7644982778810245,-3.90846532840169,-1.1633682071052722,-6.360576134119223,-0.855085449601162,-1.221652122243992,-3.913813947046669,-1.8106635748908482,-10.542528513413163,-1.4002440476238056,-1.0833053718956924,-0.9693218033073113,-0.9140209271246201,-1.117895949735241,-0.8358452835688466,-0.736352818148447,-0.8653249351394298,-0.7831918030560179,-0.8413732795875415,-1.2788171731289917,-0.8614293042584553,-0.7852249091113462,-0.8045444046833915,-0.9005324234433825,-1.0809655754970835,-0.8934400850818423,-1.2162500974363917
16,-1.2566431511961458,-1.19023503124942,-0.820447195730116,-0.7926992775380751,-0.9855353852887847,-0.9457882834147142,-0.8332039334382328,-1.1869332994277701,-0.9944515382172587,-0.86662461714816,-0.8286457675305298,-2.2243371400183345,-0.7511953697475445,-0.7467482441725845,-14.323262232517322,-1.3049258525030345,-1.3756802260470486,-0.9494565731482897,-1.2312514534015577,-1.0840877250917165,-1.8808941098544305,-0.7891229396854215,-1.2600073626849655,-1.856392013026486,-4.698042848563346,-1.2123068665882664,-7.293283663197201,-0.8203569797398028,-1.2555273922306383,-4.650282652952354,-1.8836286906439803,-10.792645182908991,-1.4247495796013925,-1.0990148184353705,-0.9944899283755589,-0.8684890314192446,-1.1598119804990537,-0.8158446199152468,-0.7459374193691851,-0.880912764700801,-0.779589164294533,-0.8635515088931421,-1.3925619372485738,-0.8432066275774195,-0.7668578235857194,-0.8058935038071972,-0.9446285580374124,-1.094584106053987,-0.961416578633469,-1.249292876016994
17,-1.1838777352366097,-1.1688207945700264,-0.7947282916918774,-0.7897830814510901,-1.0092086725497127,-0.9605954936450302,-0.8633100059571499,-1.192389491639328,-1.0212745764056228,-0.8489478775087838,-0.8449587718471469,-2.47892735407814,-0.7518831116311269,-0.7460921096295102,-19.18314970399551,-1.3284016240620433,-1.3309145283622428,-0.8783418446778195,-1.3184660852073251,-1.1196582750542778,-1.9467091228918596,-0.7741000389453311,-1.1995478477631412,-1.9641820516310693,-5.065208742938462,-1.1565885344552032,-7.6385766733456295,-0.8265377084621327,-1.2742574307391823,-4.992808767212422,-1.6875056020645263,-11.21052044620711,-1.320006407312558,-1.1094138676527434,-0.9838865461253303,-0.9195874239586016,-1.1192422974994178,-0.8278664613275505,-0.8156708943496817,-0.9130293343039395,-0.7950042296951878,-0.9103678746317894,-1.2529997130306,-0.858241273085242,-0.7523429181077169,-0.8032305021971959,-0.9205563656676031,-1.0977868085678573,-0.8978556974788069,-1.2548356239450196
18,-1.0890408294678,-1.1472626304157805,-0.7853762632268168,-0.7893335489024096,-1.0235585508437846,-0.9414303703203626,-0.8731943215591754,-1.0291227414569881,-1.049808941624275,-0.8382610414621966,-0.8569612668998777,-2.757156758494781,-0.7601133848798125,-0.7442160081601019,-19.973301667313727,-1.3196347878557577,-1.3718487446011896,-0.8703442180684795,-1.3878721277789332,-1.1589014902217318,-2.1035255672490702,-0.7768887451015041,-1.1918707789235923,-2.0123029701409743,-5.6291256314954525,-1.1243115171661813,-8.552091073743812,-0.8226837587777762,-1.316435014946623,-5.743236044931392,-1.7452748673643361,-11.823137915098485,-1.3943777428828783,-1.092185172394636,-0.9478826372443021,-0.9441327992968882,-1.1768857375244743,-0.8378490905080024,-0.829462989759544,-0.9123235577992014,-0.8061717859704206,-0.9009809577034283,-1.229080045816492,-0.8284899118944716,-0.7505636411742357,-0.8165478049432473,-0.8902016615776165,-1.0974791308950793,-0.9134787800340389,-1.290782287649766
19,-1.053913754707659,-1.1924750220030922,-0.7880408420195611,-0.7795627962876245,-1.0523418816967909,-0.9458172943507654,-0.9407214317357893,-1.0046051469451527,-1.0687336821267024,-0.8452896842632422,-0.8758816629830745,-3.0584283864165527,-0.7615491893119974,-0.7516149479207614,-24.38089393116638,-1.3460806129977956,-1.2978080583866893,-0.8852562667943393,-1.386530785896681,-1.2133387481312985,-2.5121893130048676,-0.7798968886930665,-1.1771220370205313,-2.1041690707063294,-6.828820680988338,-1.1287183386819262,-9.317486883931526,-0.8320004269074882,-1.3641487244159944,-6.248761275949003,-1.8326550456750745,-12.88027678476488,-1.4362719620089324,-1.0777350767227323,-0.9652268072042318,-0.8874342127837281,-1.1895879952994741,-0.8540239234099288,-0.8461380206342434,-0.9297152691626482,-0.8190294427612507,-0.9236987893871196,-1.2247813374041185,-0.79431018928175,-0.7426486331799265,-0.820929362603278,-0.9396764910243539,-1.0903954464540546,-0.9372708110189947,-1.3289277497501
20,-1.0660847102966573,-1.1608607122105707,-0.8024615429931928,-0.7878317432309,-1.0885909873676278,-0.9442166124270287,-0.9804099287720441,-1.027224959432085,-1.0571525018176315,-0.8328456258420469,-0.8903977941904915,-3.4218325109798022,-0.7524755925054468,-0.7376714962537131,-27.647316723746197,-1.393550058494386,-1.3686522697429162,-0.8611574515237091,-1.2518281625841587,-1.2450641336760833,-2.6782392290924584,-0.7955873431623458,-1.1709682441315823,-2.1821809564679184,-6.419573752135768,-1.1179372596096466,-10.46597612809204,-0.8238375925941217,-1.437276002889176,-6.992712772000186,-1.9051698577792258,-12.681492261334647,-1.4019985101750005,-1.0884993247078356,-0.9709031875030858,-0.9036910983408574,-1.2314559454910872,-0.8574133764117629,-0.8683645695700737,-0.9506159675490626,-0.8454803012676481,-0.9391976759661508,-1.2368929091677816,-0.8005692382424819,-0.7404379000229814,-0.8449644477870245,-0.9590895695783078,-1.0910732545655268,-0.9355538889104252,-1.3615557806382237
21,-1.090699713123315,-1.1731178092556367,-0.7826800753566966,-0.7849435060945459,-1.1227672228031444,-0.9217652791295086,-1.0242833020052917,-1.0232239132789582,-1.0920773966970496,-0.8353188466758179,-0.9199682260685575,-3.9522014056507024,-0.7653223693074643,-0.7500158634298002,-29.835566729609827,-1.389851702156562,-1.401170528129851,-0.8642083681803274,-1.303485571458569,-1.2457608180357747,-3.141132986313952,-0.7878112218624661,-1.172757136522355,-2.2858341369264354,-6.920771223145596,-1.1634088996645928,-11.112802086532575,-0.8133350044268095,-1.4123933536028104,-7.521742979011053,-1.9718006627636424,-13.025393976945853,-1.4447068674481882,-1.0674514853821964,-0.9866189708199247,-0.9167726344849104,-1.2575011735177717,-0.8700795276244994,-0.9046112749323435,-0.9704636835202398,-0.8288713571035986,-0.9526545349661869,-1.2181996120974183,-0.7875905942152444,-0.7489638234947948,-0.8525725095323852,-0.9669848231868409,-1.119942073345268,-0.9513607541385828,-1.3892184493045536
22,-1.1000492815781566,-1.2080824846553124,-0.7809196282270777,-0.7950446130666585,-1.1250979034208861,-0.9074043596241907,-1.0688886865557807,-0.9903872062068276,-1.124042416606486,-0.8425572503983418,-0.9351235829128701,-4.215841330394528,-0.7641817351874893,-0.7715325082749174,-31.744023180775446,-1.455805680210043,-1.3730439694141492,-0.812995995533405,-1.3026644852750182,-1.2950482261116594,-3.4985424482802423,-0.7909172632511716,-1.1551525796866127,-2.3718023567617146,-7.169117764709067,-1.1739522932342916,-12.015876181114825,-0.8343081893467386,-1.42802704054642,-8.285144708639576,-2.0719656093099323,-13.907132811024583,-1.4074043147370563,-1.0998269230423827,-1.0060966029749787,-0.7805517908157474,-1.1233240009577938,-0.886273367056982,-0.9128277844769245,-0.9855344608756713,-0.8414339601723019,-0.9626312522856846,-1.2401313215685097,-0.8158084624870101,-0.7555638728136603,-0.8944661912839261,-1.0172837499274758,-1.1003627167848329,-0.976650492675203,-1.4244925910759465
23,-1.1253958470821261,-1.125281923994209,-0.784069742759712,-0.8223775549707039,-1.1401416608533737,-0.9254421115192665,-1.1575733600973332,-0.988838353274322,-1.1602099376368393,-0.8487399082580406,-0.970348235416949,-4.493167751022008,-0.7733036926473582,-0.7818218318552876,-39.902026925064135,-1.4589203464359513,-1.430748815545877,-0.79936699605969,-1.3442917257146447,-1.3513483981609558,-4.0464760223767975,-0.7933202675253898,-1.2071674849861451,-2.4798950942284,-7.896882291789187,-1.1893676419122403,-13.313108214654976,-0.865937110329868,-1.4770212708164625,-9.21431224001584,-2.1283253951607577,-14.716610785169255,-1.4793169622870064,-1.1160080514122173,-1.0400353753399258,-0.7835113640659429,-1.143164889062601,-0.9102703526550647,-0.9306672716026516,-0.9838759496955723,-0.849781619939522,-0.989845529069729,-1.2676535379007865,-0.821368689370567,-0.7589214375585722,-0.9041864203687001,-1.0061651208022726,-1.1174496100615834,-1.0129109556649147,-1.4319730840833707
24,-1.16391520009456,-1.0335318288111741,-0.8263388302575218,-0.8978725700113721,-1.1445180050033992,-0.9254586772085048,-1.2139724484207448,-1.0238268251118823,-1.179417910899793,-0.8384826141533931,-0.994205821777675,-5.6258893272229695,-0.7881345192391173,-0.8000626313334467,-43.79167813015912,-1.4485561792032617,-1.5082894515171776,-0.7811725239019394,-1.370711745876791,-1.4027854635139676,-4.607544074766389,-0.7987446908070851,-1.1657891154240185,-2.5343707202737598,-8.219233687743362,-1.2185966377969815,-14.509681384607896,-0.862538501099388,-1.5164402069117862,-10.250822642820742,-2.200543908824587,-15.70408197963213,-1.4866239526540332,-1.0994662731425269,-1.0565994858155554,-0.79708181154448,-1.2488075946888149,-0.9325165412265105,-0.9502172659216734,-1.0011693444747845,-0.8635062445429926,-1.029755289776425,-1.2894263133486406,-0.8359180717391299,-0.7824783546274775,-0.9285936778307595,-1.0464466909312566,-1.179648494197378,-1.0566480814463477,-1.4563072464879847
