index,distance,,eucled_distance
177,0.379266566,,1.346777827
178,0.392221858,,1.355839746
179,0.547858178,,1.402584802
180,0.434179331,,1.40402097
181,0.592085556,,1.444580291
182,1.745368034,,1.444580291
183,1.52317903,,1.453564972
184,1.842899674,,1.465737375
185,2.748639362,,1.49476817
186,4.989033165,,1.50442621
187,0.331814495,,1.50442621
188,0.699220284,,1.534128495
189,0.991955637,,1.546911731
190,1.580020054,,1.563527194
191,1.155315783,,1.613399371
192,0.563902035,,1.638817561
193,0.837815654,,1.696780771
194,1.380600785,,1.738531122
195,0.147351413,,1.756654945
196,0.621028567,,1.813885885
197,0.871832586,,1.820652484
198,1.612071324,,1.833343375
199,0.397716469,,1.906058527
200,0.434179331,,1.906058527
201,0.592085556,,1.970687935
202,1.745368034,,2.126581371
203,1.325388601,,2.184419565
204,1.842899674,,2.231044488
205,2.748639362,,2.287176724
206,4.989033165,,2.320074358
207,0.332929684,,2.47543083
208,0.699595432,,2.496463371
209,0.991955637,,2.598773953
210,1.087705767,,2.681197785
211,1.155315783,,2.703224486
212,0.621774045,,2.743351167
213,0.837815654,,2.832482442
214,1.380600785,,2.836543746
215,0.146989176,,2.840658252
216,0.621028567,,2.961189991
217,0.87228841,,3.019631997
218,1.637436345,,3.046309575
219,1.25041081,,3.046309575
220,4.059826653,,3.229889406
221,2.768850503,,3.36784804
222,2.835056851,,3.396279209
223,1.873924621,,3.396279209
224,1.226550533,,3.463209725
225,1.685425244,,3.511593487
226,1.094732942,,3.511593487
227,1.346805808,,4.047710711
228,0.4574148,,4.793854352
229,0.537599121,,6.583134149
230,1.349315561,,7.001620301
231,0.367040404,,7.381420228
232,0.606562176,,7.555018344
233,0.050795222,,7.555018344
234,0.816698473,,7.666533108
235,1.656306483,,7.666533108
236,0.860338196,,7.961644
237,1.458280278,,8.007095586
238,2.829681181,,8.037547346
239,0.455695956,,9.859409189
240,4.059826653,,9.985512097
241,2.768850503,,10.02922521
242,2.716876925,,10.97478143
243,1.873924621,,11.02910166
244,1.226550533,,13.94637059
245,1.684204188,,14.0749553
246,3.139969616,,16.40319887
247,0.226543883,,16.48219245
248,0.989809331,,16.48219245
249,1.270196588,,17.58534705
250,4.050086279,,18.10411589
251,1.210676412,,18.14382266
252,3.166895201,,18.98491776
253,4.193488649,,24.89045192
254,6.491533057,,24.89045192
255,1.104090836,,42.14000142
