index,distance,,eucled_distance
0,0.610668635,,0.001124919
1,0.916251446,,0.002580155
2,1.034843276,,0.003497149
3,1.682998052,,0.00421245
4,0.38490338,,0.008413202
5,0.507357904,,0.010976978
6,0.635921277,,0.011173074
7,0.441599055,,0.01693513
8,1.060508813,,0.020363997
9,0.979755331,,0.020733249
10,0.639211901,,0.021605818
11,2.011892321,,0.021712439
12,0.629473032,,0.022238829
13,0.78242536,,0.026909843
14,1.64414856,,0.027577095
15,0.464763864,,0.042550534
16,0.812605953,,0.046419999
17,0.87869576,,0.051279085
18,1.031437093,,0.051322131
19,1.118738939,,0.070468885
20,0.142702478,,0.074598314
21,0.105702763,,0.074770554
22,0.352000482,,0.080761173
23,0.787551023,,0.086763637
24,0.531556748,,0.097480127
25,0.361835727,,0.101295889
26,0.059136694,,0.1036738
27,0.333119342,,0.107916747
28,0.546157905,,0.110100859
29,0.525541599,,0.110842175
30,1.280163099,,0.110968496
31,0.431931358,,0.112215108
32,0.85513153,,0.120001207
33,1.004151003,,0.12390434
34,1.243749063,,0.12570268
35,0.463993888,,0.128152381
36,0.215453008,,0.130925093
37,0.064903388,,0.133774495
38,0.483679748,,0.134410679
39,1.054865147,,0.134718658
40,1.146166316,,0.138675317
41,1.184913908,,0.143843128
42,0.365751958,,0.147298342
43,1.860970103,,0.148150612
44,0.712197322,,0.151261733
45,0.619826938,,0.152476755
46,0.650829243,,0.153837986
47,0.725202206,,0.15817839
48,0.273442048,,0.162800609
49,0.226448858,,0.168934915
50,0.553209692,,0.170525106
51,0.321984161,,0.176733926
52,0.411016928,,0.179736905
53,1.013429799,,0.186564698
54,0.464988012,,0.188511691
55,1.40381193,,0.188511691
56,0.998634804,,0.190561746
57,0.312218077,,0.193107199
58,0.091723509,,0.195009725
59,0.939994422,,0.206515891
60,1.22260712,,0.206947906
61,2.821638531,,0.207658804
62,1.164405319,,0.2092283
63,0.649286758,,0.215290328
64,0.970079198,,0.216005449
65,1.071473253,,0.216213851
66,1.354010109,,0.221059142
67,0.412946856,,0.233946099
68,0.166063528,,0.23611487
69,0.423953895,,0.249291599
70,0.420397343,,0.257412043
71,1.184307731,,0.263078457
72,1.11459766,,0.275715282
73,0.766229895,,0.276104069
74,2.565761904,,0.276193973
75,0.618311066,,0.281091373
76,0.723703955,,0.282333504
77,1.573350193,,0.282552576
78,0.346411904,,0.289012815
79,0.844186175,,0.291034375
80,0.954197205,,0.298288457
81,1.026429721,,0.300148583
82,1.477978202,,0.306040964
83,0.143990449,,0.312765692
84,0.104771076,,0.317985505
85,0.383794661,,0.335794509
86,0.962971969,,0.336764689
87,0.436533785,,0.346003067
88,0.284185103,,0.348856212
89,0.033539812,,0.350565306
90,0.59064051,,0.350565306
91,0.62280345,,0.365181535
92,0.512911744,,0.367917673
93,1.205638823,,0.369637205
94,0.454440195,,0.371535188
