,distance_scaled
89,0.0025328066108849523
233,0.003835873473541307
21,0.007982294587667749
100,0.0200465716870194
84,0.021438769185998626
247,0.026262108497601033
27,0.03209120546491189
165,0.03411055430761643
26,0.040100269448403544
37,0.040151099350605915
166,0.0410446682414501
120,0.045638557416592375
25,0.048318927905224934
87,0.0517185704570935
94,0.052590804491732264
58,0.06017621565070102
101,0.06104636174410736
88,0.06351187201044337
104,0.06822696950379865
114,0.06959727807090053
119,0.07194572233387145
50,0.07292782559208255
103,0.07934836855859027
20,0.08042688381843568
83,0.0804399738102639
38,0.08767259967986986
24,0.08923942156682982
215,0.10024352406850268
195,0.10024655678988
187,0.10272987618214297
207,0.10275045002833899
172,0.12008170915947083
36,0.12065452979552618
55,0.12170250716630242
134,0.12194448718878
69,0.12376504315035074
99,0.125357239741057
68,0.14004051767212528
48,0.1409981494569351
121,0.14175335742077316
35,0.1438117676280395
199,0.16220808153308872
164,0.16531754653036193
107,0.16547681157250432
56,0.17634223301526913
157,0.18000400715497458
49,0.18014221926504276
57,0.18087203000718657
31,0.18227099744184083
234,0.18963778326562497
175,0.19544612656318994
133,0.20031880073730424
148,0.2007924997540471
150,0.20199862900213944
143,0.20260480562924088
90,0.20418530975181126
47,0.20664311671498523
126,0.21014362969718445
52,0.2213663519222448
3,0.23633681673820994
22,0.24057799639700195
70,0.24120332756086016
117,0.24342085179564626
110,0.2506965160201785
198,0.25071852374170894
85,0.2606467609652958
4,0.26065608426784265
95,0.2693409392512425
53,0.2700993577432994
210,0.27174188715991526
96,0.27221052493086917
51,0.28001348384696234
116,0.280262637314813
67,0.2806934022975999
7,0.28094201407158187
239,0.2810703640650889
189,0.2888384963384344
209,0.2888384963384344
78,0.30002383607932437
154,0.30007801681419927
177,0.3002503393097333
111,0.30098273762154487
46,0.3028952339760848
161,0.3044822527101455
218,0.305133536217441
236,0.3058611202095099
42,0.32000083124395956
231,0.3200092440965322
118,0.32004449700849286
135,0.32065217949893116
144,0.3248875571361194
40,0.33034726113307455
149,0.3400029199841304
112,0.3400131093650864
178,0.34002452451193454
115,0.3400996746443847
32,0.3448325706881367
33,0.3471160515949925
191,0.34978725797616095
211,0.34978725797616095
162,0.3608427404862586
174,0.3608458126480228
132,0.3608950336203969
181,0.36143371847349537
201,0.36143371847349537
232,0.36157058607790077
44,0.36266750744942045
127,0.36385985116514424
255,0.36822123255168987
200,0.3800000022695031
180,0.3800000022695031
54,0.380207811161408
179,0.3808367587215814
176,0.38093121263902374
6,0.38161647101543933
158,0.38239777703595357
41,0.3890137827378629
97,0.3911537463846943
228,0.40000250501917956
15,0.40005081211867716
229,0.400570834662706
173,0.4005852243888228
153,0.4009037003615832
108,0.4011578198302366
159,0.40165767289289794
34,0.40942697967263736
5,0.4201841121868221
29,0.4203115468467342
63,0.4212966359393863
152,0.4216519491417274
146,0.42592694979344753
145,0.42738672678579265
62,0.4275730638593784
190,0.43511308150319544
92,0.4400669853024622
10,0.4410088153195616
113,0.44822695919266525
237,0.4519800945129655
28,0.4601366516842282
192,0.46025869375149164
105,0.46057857188722645
0,0.46059887103851704
122,0.46591874099388386
196,0.4805040335353287
216,0.4805040335353287
188,0.48111623696477857
208,0.48111934699742
80,0.48360832218079286
128,0.4867471303935233
129,0.4867471303935233
30,0.487883645640903
91,0.500350674792
64,0.5034931719866277
130,0.505785636154423
76,0.5209354234346042
13,0.5214192904184476
197,0.5222274649248052
217,0.5222318056777038
17,0.5222930583029431
81,0.5238273399165727
226,0.5246153889969705
75,0.5400086092087544
45,0.5400185193524148
212,0.5400312840618445
12,0.5400821456684031
213,0.5416936788269847
193,0.5416936788269847
1,0.5424173970877232
8,0.5439143645079308
93,0.5456357614764912
160,0.5607237938142401
23,0.561072501336986
2,0.5633581160387552
65,0.5637484875429727
214,0.5675694205784253
194,0.5675694205784253
123,0.580095061315004
73,0.5807268619086838
18,0.5830630230445936
14,0.5910256576736493
156,0.6006641508233821
124,0.6007126000001209
79,0.6011521631007476
9,0.6023238651144263
252,0.6070084636251194
204,0.6137490812604316
184,0.6137490812604316
238,0.6160826841918801
109,0.6201336937270401
19,0.6234385474957737
77,0.629011074398979
16,0.6405593520398705
230,0.6457037234308997
140,0.6800002263360717
141,0.681157518738452
253,0.6941345019280318
86,0.720991568127339
224,0.7232703165129475
244,0.7232703165129475
66,0.7245658538647426
245,0.7285030251208104
225,0.7285191291433587
71,0.7426451295350924
170,0.7807399762937636
72,0.7816362598874693
249,0.8027677791305701
82,0.8047934401413465
59,0.8200201137124755
248,0.8203543182297507
39,0.8208165282277519
205,0.82360157660037
185,0.82360157660037
102,0.8400033174000355
142,0.847800763509866
246,0.8506583712308691
125,0.8530445502382067
60,0.8815662220899066
254,0.885345290375236
182,0.9457240894645554
202,0.9457240894645554
250,0.9473714828027866
61,0.9604295285496877
251,0.9806164977903499
186,0.9909804486674343
206,0.9909804486674343
219,1.020573760408772
106,1.042243131688609
183,1.0821031094888915
168,1.083791146404983
138,1.1401048669398357
227,1.1402933111710445
203,1.1600000008370397
169,1.1613033300979765
242,1.173744657331232
222,1.1949350692548213
137,1.3811018294250696
235,1.42022283119867
136,1.4214760734594605
43,1.5803684835604506
223,1.6400006485937886
243,1.6400006485937886
11,1.7600062441779254
98,2.0818547390935795
241,2.122418489853368
221,2.122418489853368
74,2.2400416945008756
131,2.3038145915137513
163,2.7412211900063377
147,2.8434284910111374
167,2.9000491712635093
171,3.2800261433851383
220,3.52024848645483
240,3.52024848645483
151,3.6803291136487566
139,3.7002094493204267
155,3.700857536739382
