,dwave1,dstrength1
1,23.927497164,0.002452
2,52.986388434,0.005148000000000001
3,79.07611797999998,0.007908
4,101.39202681800002,0.010302
5,122.484506714,0.012851999999999997
6,147.26956289799998,0.015322
7,167.208415942,0.017384000000000004
8,188.32595905,0.019028
9,206.49977989599992,0.021058000000000004
10,226.21140558200005,0.02353
11,242.33505474599988,0.025524
12,263.131431476,0.027921999999999992
13,288.2812300039999,0.030299999999999997
14,305.5406917899999,0.032589999999999994
15,322.61141545599986,0.03404599999999999
16,338.35589266599993,0.035436
17,358.1770241699999,0.037124
18,381.952793174,0.039048
19,401.02893106999994,0.040510000000000004
20,420.75332867399976,0.04306799999999999
21,437.16675665599985,0.045383999999999994
22,461.48385999999994,0.04752199999999998
23,478.16997895199995,0.050232
24,498.8878778479999,0.053034
25,518.5155479519998,0.05572199999999998
26,540.7329549879998,0.05721999999999999
27,558.7819275939997,0.05910199999999998
28,578.3249972259999,0.06106200000000001
29,597.7664339079997,0.06298000000000001
30,612.5143147259997,0.06452
31,630.7060286259999,0.06641200000000001
32,651.6871700019997,0.06860000000000001
33,668.3392947059998,0.070292
34,687.2283935720001,0.07291399999999999
35,702.8258547999998,0.075374
36,727.7411498299999,0.077674
37,746.0964626859999,0.07965799999999999
38,760.9673184219996,0.08129800000000001
39,779.806768932,0.083262
40,797.2470728059998,0.08517
41,818.491740182,0.08738600000000003
42,835.9829206019997,0.08904800000000003
43,855.7964527359997,0.090968
44,870.1787668839997,0.09271399999999998
45,895.2546463679996,0.09452200000000001
46,913.9136714019999,0.097096
47,938.8496592039996,0.099288
48,956.7971639599995,0.10131799999999996
49,975.7473302579996,0.10367800000000005
50,995.1345780199995,0.10582200000000004
51,1007.9856714140001,0.10798000000000003
52,1025.23123958,0.10986400000000002
53,1043.7151345999996,0.11165000000000001
54,1059.4435155999995,0.11338600000000003
55,1076.3632528899998,0.11557600000000003
56,1094.3963306939993,0.11798800000000005
57,1114.0065282659993,0.120054
58,1132.9939822999995,0.121982
59,1149.9916172179996,0.12422999999999998
60,1167.4032209499994,0.126494
61,1187.7015417039993,0.129556
62,1207.2887723939996,0.131456
63,1221.3479330559994,0.133332
64,1239.5733326039995,0.135202
65,1256.9746540639999,0.137362
66,1273.4456207979995,0.13906200000000002
67,1290.5216459299993,0.14087600000000003
68,1310.3101569559994,0.14272400000000005
69,1326.1017762059994,0.14486000000000002
70,1341.968625402,0.14695600000000003
71,1371.4554380539992,0.14870800000000003
72,1387.6100437960004,0.15077000000000002
73,1401.2398429099997,0.15287599999999998
74,1421.0513243340001,0.155178
75,1444.3885862819993,0.15716400000000003
76,1464.6919063239993,0.15911800000000004
77,1484.1097531879998,0.16119600000000006
78,1505.541153869999,0.16314800000000004
79,1525.1074484499993,0.16541
80,1541.0806902259997,0.16725600000000007
81,1562.0327043519992,0.16999000000000006
82,1584.9779979379994,0.17235000000000003
83,1610.299265966,0.174758
84,1629.267227489999,0.17702200000000004
85,1648.7495988599997,0.17904000000000003
86,1673.5618800079994,0.18124800000000005
87,1697.7652276879992,0.18380600000000008
88,1716.9968406039998,0.18647200000000003
89,1735.9211687019995,0.18858
90,1766.7326857839994,0.19122000000000003
91,1785.1411593919993,0.19356600000000004
92,1804.419668373999,0.19555200000000006
93,1822.381887831999,0.1976020000000001
94,1851.1624420720002,0.200622
95,1869.734976239999,0.20307000000000003
96,1890.689386301999,0.20527
97,1908.9315641199987,0.2072380000000001
98,1931.160311699999,0.209874
99,1953.046906826,0.2127780000000001
100,1968.9469595579985,0.215428
101,1993.4153509479997,0.21716800000000003
102,2016.6475994919995,0.2199800000000001
103,2039.1866517959993,0.22298800000000008
104,2061.011433317999,0.22517000000000004
105,2080.459625169999,0.22735400000000008
106,2102.2093839379986,0.22942800000000005
107,2122.127372513999,0.23187000000000008
108,2141.2134223539992,0.23412000000000005
109,2160.540626144,0.2367880000000001
110,2186.3585786519993,0.23984800000000012
111,2213.179742149999,0.24245600000000012
112,2239.782102879999,0.24456800000000015
113,2261.1503187440003,0.24662800000000004
114,2280.086250505998,0.24872400000000014
115,2307.6757564579993,0.2516480000000001
116,2328.493237541999,0.25375600000000004
117,2350.793148803999,0.25656200000000007
118,2372.355867305999,0.2590000000000002
119,2393.153470151999,0.26133800000000007
120,2413.115932893999,0.263818
121,2434.07744608,0.265728
122,2455.9331370659997,0.268152
123,2489.290459176,0.2710300000000001
124,2507.609113786,0.27382199999999995
125,2527.611756655999,0.27668000000000004
126,2548.5936470559986,0.279292
127,2569.63384621,0.28182399999999996
128,2592.594430545999,0.28517800000000004
129,2614.61554475,0.2873520000000001
130,2637.073194881999,0.290146
131,2663.5330738479997,0.293512
132,2685.1531975599996,0.29634600000000005
133,2703.0362816659986,0.29891799999999996
134,2728.883791664,0.30153800000000003
135,2753.2379127159993,0.304454
136,2775.0479446159998,0.30703
137,2796.5917144939995,0.308946
138,2824.9239920079985,0.31229400000000007
139,2851.253347464,0.31520200000000015
140,2880.1754509719995,0.31742
141,2898.357634483999,0.31959800000000005
142,2926.483400525999,0.32189600000000007
143,2950.840790658,0.32485200000000014
144,2971.931883332,0.3276460000000001
145,2997.0329214059993,0.331018
146,3023.9040457419997,0.33373600000000003
147,3045.168276464001,0.336416
148,3071.3145707559993,0.3402339999999998
149,3101.444570947999,0.343716
150,3127.2951641999994,0.3467539999999999
151,3142.9625629039992,0.3488180000000001
152,3166.5606046519983,0.3524999999999999
153,3191.1295560819985,0.355696
154,3214.8573728619986,0.35836000000000007
155,3238.4607017060002,0.36190600000000006
