iteration,lcb,rand
1,0.35,0.38
2,0.51,0.46
3,0.58,0.53
4,0.68,0.58
5,0.78,0.6
6,0.89,0.66
7,0.97,0.7
8,1.04,0.76
9,1.13,0.79
10,1.3,0.8
11,1.39,0.86
12,1.49,0.91
13,1.62,0.94
14,1.72,1.03
15,1.79,1.05
16,1.88,1.09
17,1.97,1.15
18,2.01,1.19
19,2.09,1.24
20,2.13,1.31
21,2.3,1.34
22,2.36,1.38
23,2.45,1.48
24,2.52,1.53
25,2.6,1.56
26,2.68,1.59
27,2.78,1.61
28,2.83,1.66
29,2.88,1.71
30,2.99,1.76
31,3.06,1.82
32,3.12,1.92
33,3.22,1.99
34,3.3,2.09
35,3.37,2.13
36,3.46,2.17
37,3.5,2.23
38,3.55,2.29
39,3.64,2.31
40,3.7,2.35
41,3.73,2.44
42,3.79,2.5
43,3.85,2.54
44,3.94,2.57
45,3.99,2.59
46,4.03,2.68
47,4.11,2.71
48,4.17,2.73
49,4.22,2.76
50,4.3,2.87
51,4.36,2.93
52,4.45,2.98
53,4.51,3.0
54,4.57,3.06
55,4.63,3.13
56,4.72,3.14
57,4.8,3.17
58,4.88,3.21
59,4.94,3.22
60,5.05,3.26
61,5.09,3.31
62,5.15,3.35
63,5.2,3.45
64,5.26,3.5
65,5.31,3.56
66,5.39,3.59
67,5.46,3.65
68,5.52,3.69
69,5.59,3.7
70,5.66,3.74
71,5.71,3.8
72,5.76,3.82
73,5.85,3.85
74,5.89,3.88
75,5.99,3.91
76,6.06,3.96
77,6.11,4.01
78,6.12,4.07
79,6.17,4.11
80,6.22,4.12
81,6.27,4.18
82,6.33,4.24
83,6.38,4.33
84,6.44,4.38
85,6.49,4.41
86,6.57,4.45
87,6.61,4.52
88,6.67,4.59
89,6.73,4.65
90,6.84,4.68
91,6.92,4.74
92,7.04,4.76
93,7.09,4.83
94,7.12,4.92
95,7.17,4.97
96,7.18,4.98
97,7.22,5.03
98,7.28,5.04
99,7.3,5.12
100,7.31,5.18
101,7.38,5.2
102,7.39,5.27
103,7.45,5.3
104,7.5,5.32
105,7.55,5.39
106,7.59,5.46
107,7.6,5.59
108,7.63,5.65
109,7.66,5.71
110,7.67,5.81
111,7.73,5.87
112,7.77,5.93
113,7.82,5.98
114,7.85,6.02
115,7.91,6.05
116,7.97,6.09
117,8.03,6.16
118,8.1,6.19
119,8.14,6.26
120,8.2,6.33
121,8.26,6.36
122,8.35,6.42
123,8.44,6.44
124,8.51,6.53
125,8.56,6.57
126,8.62,6.6
127,8.64,6.66
128,8.7,6.7
129,8.75,6.74
130,8.8,6.77
131,8.84,6.81
132,8.92,6.88
133,8.96,6.9
134,9.03,6.98
135,9.11,7.01
136,9.21,7.07
137,9.24,7.12
138,9.27,7.2
139,9.32,7.24
140,9.33,7.29
141,9.37,7.35
142,9.41,7.39
143,9.46,7.45
144,9.51,7.5
145,9.57,7.54
146,9.6,7.62
147,9.64,7.67
148,9.71,7.69
149,9.79,7.74
150,9.83,7.76
151,9.9,7.83
152,9.95,7.9
153,9.99,7.93
154,10.02,7.99
155,10.05,8.03
156,10.09,8.07
157,10.12,8.11
158,10.15,8.12
159,10.21,8.15
160,10.26,8.21
161,10.34,8.25
162,10.38,8.3
163,10.45,8.32
164,10.52,8.39
165,10.54,8.42
166,10.56,8.48
167,10.6,8.55
168,10.61,8.61
169,10.64,8.66
170,10.69,8.7
171,10.74,8.75
172,10.76,8.82
173,10.82,8.88
174,10.89,8.91
175,10.9,8.96
176,10.93,9.06
177,10.96,9.13
178,11.0,9.18
179,11.0,9.27
180,11.05,9.33
181,11.05,9.35
182,11.1,9.41
183,11.11,9.48
184,11.12,9.53
185,11.14,9.57
186,11.14,9.62
187,11.17,9.64
188,11.21,9.69
189,11.22,9.75
190,11.29,9.85
191,11.31,9.93
192,11.37,9.99
193,11.39,10.05
194,11.44,10.07
195,11.46,10.15
196,11.52,10.21
197,11.55,10.24
198,11.58,10.28
199,11.68,10.28
200,11.7,10.37
