iteration,lcb,rand
1,0.3,0.3
2,0.39,0.34
3,0.49,0.36
4,0.55,0.39
5,0.65,0.41
6,0.78,0.46
7,0.87,0.55
8,0.93,0.6
9,1.05,0.66
10,1.13,0.73
11,1.23,0.74
12,1.31,0.83
13,1.45,0.84
14,1.53,0.86
15,1.63,0.9
16,1.76,0.93
17,1.92,1.0
18,2.04,1.03
19,2.19,1.07
20,2.3,1.13
21,2.4,1.14
22,2.58,1.19
23,2.67,1.26
24,2.73,1.3
25,2.8,1.35
26,2.86,1.36
27,3.0,1.39
28,3.09,1.41
29,3.22,1.48
30,3.32,1.54
31,3.43,1.57
32,3.5,1.62
33,3.58,1.68
34,3.67,1.77
35,3.75,1.81
36,3.83,1.87
37,3.88,1.95
38,3.95,1.98
39,4.01,2.04
40,4.11,2.06
41,4.2,2.12
42,4.26,2.16
43,4.33,2.21
44,4.37,2.24
45,4.42,2.29
46,4.49,2.37
47,4.55,2.42
48,4.58,2.46
49,4.71,2.51
50,4.84,2.54
51,4.93,2.59
52,4.98,2.61
53,5.1,2.65
54,5.16,2.75
55,5.2,2.76
56,5.27,2.81
57,5.38,2.86
58,5.42,2.95
59,5.5,2.98
60,5.61,3.03
61,5.67,3.05
62,5.75,3.11
63,5.79,3.14
64,5.81,3.23
65,5.86,3.28
66,5.89,3.3
67,5.95,3.36
68,6.03,3.43
69,6.09,3.48
70,6.18,3.54
71,6.25,3.59
72,6.31,3.6
73,6.44,3.65
74,6.52,3.7
75,6.63,3.73
76,6.72,3.75
77,6.8,3.82
78,6.84,3.88
79,6.89,3.94
80,6.95,4.04
81,7.03,4.08
82,7.05,4.13
83,7.14,4.22
84,7.2,4.25
85,7.24,4.34
86,7.24,4.38
87,7.29,4.41
88,7.37,4.44
89,7.45,4.48
90,7.51,4.55
91,7.56,4.56
92,7.6,4.61
93,7.66,4.64
94,7.7,4.72
95,7.74,4.78
96,7.8,4.79
97,7.87,4.87
98,7.93,4.93
99,7.98,5.02
100,8.03,5.06
101,8.08,5.09
102,8.14,5.12
103,8.18,5.16
104,8.22,5.21
105,8.27,5.26
106,8.33,5.33
107,8.4,5.41
108,8.45,5.5
109,8.5,5.56
110,8.54,5.59
111,8.58,5.64
112,8.63,5.7
113,8.68,5.76
114,8.75,5.82
115,8.79,5.87
116,8.85,5.93
117,8.9,5.97
118,8.99,6.03
119,9.06,6.06
120,9.13,6.11
121,9.17,6.12
122,9.22,6.16
123,9.24,6.22
124,9.32,6.25
125,9.39,6.34
126,9.43,6.41
127,9.46,6.47
128,9.56,6.53
129,9.6,6.57
130,9.69,6.58
131,9.76,6.64
132,9.79,6.74
133,9.82,6.79
134,9.87,6.81
135,9.89,6.9
136,9.89,6.99
137,9.91,7.04
138,10.01,7.08
139,10.09,7.13
140,10.15,7.15
141,10.18,7.21
142,10.21,7.27
143,10.3,7.34
144,10.35,7.41
145,10.38,7.43
146,10.43,7.48
147,10.47,7.56
148,10.5,7.59
149,10.52,7.64
150,10.58,7.67
151,10.58,7.72
152,10.59,7.75
153,10.67,7.8
154,10.73,7.85
155,10.8,7.9
156,10.85,7.95
157,10.9,7.98
158,10.93,8.02
159,10.98,8.08
160,11.06,8.16
161,11.1,8.25
162,11.17,8.31
163,11.2,8.36
164,11.23,8.44
165,11.24,8.5
166,11.3,8.56
167,11.33,8.59
168,11.36,8.64
169,11.42,8.71
170,11.49,8.74
171,11.5,8.84
172,11.55,8.88
173,11.6,8.94
174,11.62,8.98
175,11.64,9.01
176,11.64,9.07
177,11.69,9.14
178,11.76,9.17
179,11.79,9.22
180,11.8,9.29
181,11.83,9.36
182,11.94,9.43
183,11.98,9.49
184,12.02,9.54
185,12.09,9.58
186,12.13,9.64
187,12.14,9.67
188,12.16,9.69
189,12.2,9.78
190,12.24,9.81
191,12.26,9.86
192,12.32,9.88
193,12.34,9.93
194,12.37,9.99
195,12.41,10.06
196,12.47,10.11
197,12.53,10.14
198,12.59,10.15
199,12.61,10.21
200,12.63,10.27
