iteration,lcb,rand
1,0.32,0.33
2,0.45,0.35
3,0.55,0.41
4,0.62,0.46
5,0.74,0.54
6,0.87,0.59
7,1.0,0.63
8,1.14,0.68
9,1.23,0.72
10,1.3,0.78
11,1.39,0.82
12,1.44,0.88
13,1.57,0.89
14,1.69,0.93
15,1.87,0.99
16,1.99,1.05
17,2.1,1.08
18,2.18,1.1
19,2.34,1.17
20,2.45,1.23
21,2.52,1.3
22,2.56,1.35
23,2.63,1.45
24,2.69,1.62
25,2.75,1.7
26,2.86,1.75
27,2.92,1.8
28,3.04,1.87
29,3.12,1.97
30,3.24,1.99
31,3.28,2.07
32,3.32,2.14
33,3.41,2.2
34,3.49,2.24
35,3.52,2.25
36,3.58,2.29
37,3.65,2.34
38,3.7,2.41
39,3.75,2.51
40,3.82,2.55
41,3.9,2.55
42,3.98,2.58
43,4.08,2.62
44,4.13,2.65
45,4.25,2.74
46,4.34,2.77
47,4.44,2.81
48,4.51,2.87
49,4.61,2.92
50,4.67,2.94
51,4.73,2.99
52,4.76,3.04
53,4.82,3.12
54,4.88,3.14
55,4.91,3.17
56,4.99,3.2
57,5.11,3.21
58,5.13,3.28
59,5.16,3.34
60,5.26,3.37
61,5.3,3.41
62,5.33,3.47
63,5.38,3.5
64,5.46,3.51
65,5.51,3.56
66,5.57,3.58
67,5.61,3.66
68,5.67,3.7
69,5.75,3.73
70,5.81,3.81
71,5.94,3.9
72,6.01,3.96
73,6.07,4.02
74,6.13,4.07
75,6.19,4.14
76,6.28,4.18
77,6.34,4.23
78,6.38,4.28
79,6.44,4.34
80,6.5,4.39
81,6.58,4.44
82,6.6,4.51
83,6.66,4.53
84,6.73,4.56
85,6.75,4.61
86,6.8,4.64
87,6.86,4.69
88,6.92,4.73
89,6.99,4.76
90,6.99,4.81
91,7.04,4.84
92,7.1,4.88
93,7.16,4.93
94,7.21,4.97
95,7.26,5.03
96,7.33,5.07
97,7.44,5.13
98,7.5,5.2
99,7.51,5.25
100,7.54,5.28
101,7.65,5.37
102,7.69,5.42
103,7.76,5.46
104,7.8,5.53
105,7.85,5.59
106,7.9,5.63
107,7.97,5.66
108,7.98,5.69
109,8.05,5.76
110,8.09,5.8
111,8.12,5.84
112,8.23,5.92
113,8.28,5.99
114,8.34,6.09
115,8.38,6.15
116,8.43,6.19
117,8.53,6.22
118,8.55,6.28
119,8.59,6.32
120,8.65,6.4
121,8.7,6.42
122,8.74,6.47
123,8.77,6.52
124,8.84,6.59
125,8.93,6.61
126,8.95,6.64
127,9.01,6.69
128,9.07,6.75
129,9.15,6.79
130,9.18,6.85
131,9.24,6.93
132,9.28,7.01
133,9.34,7.08
134,9.38,7.12
135,9.41,7.18
136,9.45,7.24
137,9.48,7.29
138,9.58,7.33
139,9.64,7.37
140,9.68,7.41
141,9.72,7.44
142,9.78,7.48
143,9.8,7.52
144,9.86,7.6
145,9.89,7.6
146,9.97,7.65
147,10.0,7.7
148,10.03,7.75
149,10.09,7.78
150,10.11,7.81
151,10.2,7.86
152,10.25,7.91
153,10.28,8.0
154,10.3,8.03
155,10.36,8.07
156,10.39,8.12
157,10.46,8.16
158,10.5,8.22
159,10.52,8.28
160,10.54,8.35
161,10.59,8.42
162,10.63,8.45
163,10.67,8.48
164,10.7,8.49
165,10.73,8.53
166,10.76,8.61
167,10.8,8.68
168,10.84,8.73
169,10.87,8.8
170,10.92,8.87
171,10.94,8.96
172,10.94,9.0
173,10.99,9.06
174,11.01,9.12
175,11.03,9.16
176,11.07,9.17
177,11.09,9.22
178,11.14,9.27
179,11.21,9.31
180,11.23,9.33
181,11.29,9.38
182,11.29,9.43
183,11.31,9.49
184,11.38,9.5
185,11.44,9.52
186,11.47,9.57
187,11.49,9.64
188,11.51,9.69
189,11.54,9.75
190,11.58,9.82
191,11.59,9.87
192,11.64,9.9
193,11.66,9.95
194,11.69,10.03
195,11.73,10.09
196,11.79,10.11
197,11.83,10.14
198,11.93,10.18
199,11.99,10.21
200,12.08,10.24
