iteration,lcb,rand
1,0.35,0.35
2,0.41,0.41
3,0.53,0.44
4,0.6,0.52
5,0.69,0.56
6,0.78,0.59
7,0.84,0.69
8,0.91,0.7
9,1.02,0.75
10,1.04,0.8
11,1.14,0.89
12,1.29,0.93
13,1.37,0.99
14,1.47,1.07
15,1.54,1.14
16,1.61,1.21
17,1.75,1.25
18,1.84,1.33
19,1.95,1.37
20,2.01,1.41
21,2.1,1.44
22,2.16,1.48
23,2.24,1.56
24,2.33,1.59
25,2.42,1.62
26,2.5,1.7
27,2.56,1.77
28,2.69,1.84
29,2.86,1.88
30,3.02,1.95
31,3.18,1.99
32,3.28,2.05
33,3.42,2.11
34,3.53,2.15
35,3.6,2.18
36,3.71,2.2
37,3.77,2.29
38,3.86,2.35
39,3.91,2.39
40,4.0,2.4
41,4.12,2.44
42,4.22,2.48
43,4.33,2.49
44,4.35,2.55
45,4.42,2.59
46,4.45,2.66
47,4.58,2.7
48,4.62,2.73
49,4.72,2.77
50,4.78,2.85
51,4.9,2.89
52,4.97,2.91
53,5.02,2.99
54,5.09,3.03
55,5.11,3.05
56,5.17,3.1
57,5.22,3.11
58,5.26,3.17
59,5.33,3.22
60,5.39,3.28
61,5.46,3.33
62,5.53,3.39
63,5.58,3.4
64,5.64,3.43
65,5.72,3.5
66,5.81,3.53
67,5.85,3.61
68,5.9,3.65
69,5.91,3.7
70,5.95,3.76
71,6.03,3.85
72,6.15,3.9
73,6.19,4.01
74,6.23,4.04
75,6.27,4.08
76,6.34,4.12
77,6.4,4.18
78,6.51,4.22
79,6.52,4.29
80,6.61,4.3
81,6.65,4.39
82,6.7,4.44
83,6.74,4.48
84,6.82,4.51
85,6.84,4.57
86,6.9,4.58
87,6.95,4.63
88,7.02,4.68
89,7.05,4.71
90,7.11,4.73
91,7.17,4.78
92,7.23,4.84
93,7.26,4.94
94,7.33,4.95
95,7.4,4.98
96,7.45,5.01
97,7.49,5.08
98,7.55,5.11
99,7.6,5.15
100,7.68,5.2
101,7.73,5.24
102,7.78,5.27
103,7.85,5.37
104,7.89,5.46
105,7.95,5.51
106,8.04,5.55
107,8.1,5.63
108,8.17,5.66
109,8.21,5.68
110,8.26,5.71
111,8.32,5.77
112,8.33,5.83
113,8.39,5.87
114,8.42,5.92
115,8.46,5.94
116,8.52,6.03
117,8.54,6.08
118,8.58,6.15
119,8.63,6.23
120,8.69,6.28
121,8.75,6.32
122,8.79,6.39
123,8.83,6.43
124,8.85,6.44
125,8.9,6.51
126,8.91,6.56
127,8.95,6.6
128,9.0,6.68
129,9.04,6.74
130,9.09,6.8
131,9.13,6.88
132,9.18,6.98
133,9.23,7.03
134,9.29,7.09
135,9.31,7.11
136,9.37,7.15
137,9.4,7.2
138,9.42,7.23
139,9.49,7.28
140,9.54,7.34
141,9.61,7.37
142,9.67,7.44
143,9.74,7.46
144,9.79,7.52
145,9.86,7.57
146,9.9,7.67
147,9.96,7.73
148,10.01,7.77
149,10.05,7.82
150,10.1,7.87
151,10.12,7.89
152,10.15,7.93
153,10.21,7.97
154,10.29,8.03
155,10.34,8.06
156,10.35,8.1
157,10.38,8.2
158,10.42,8.26
159,10.44,8.26
160,10.46,8.36
161,10.5,8.41
162,10.54,8.47
163,10.55,8.52
164,10.58,8.52
165,10.66,8.6
166,10.7,8.62
167,10.73,8.65
168,10.75,8.7
169,10.8,8.76
170,10.85,8.89
171,10.93,8.95
172,10.95,9.01
173,10.97,9.04
174,10.99,9.1
175,11.01,9.16
176,11.04,9.25
177,11.1,9.28
178,11.17,9.33
179,11.23,9.37
180,11.3,9.41
181,11.34,9.43
182,11.37,9.48
183,11.41,9.53
184,11.45,9.57
185,11.48,9.6
186,11.54,9.63
187,11.56,9.68
188,11.62,9.73
189,11.68,9.81
190,11.72,9.85
191,11.8,9.92
192,11.85,9.96
193,11.9,9.99
194,11.95,10.07
195,12.01,10.12
196,12.09,10.17
197,12.15,10.24
198,12.2,10.3
199,12.24,10.4
200,12.26,10.47
