iteration,lcb,rand
1,0.35,0.27
2,0.47,0.31
3,0.54,0.35
4,0.61,0.39
5,0.68,0.44
6,0.75,0.52
7,0.81,0.57
8,0.93,0.63
9,1.02,0.67
10,1.15,0.72
11,1.22,0.79
12,1.29,0.82
13,1.41,0.89
14,1.47,0.96
15,1.55,1.06
16,1.66,1.12
17,1.76,1.15
18,1.86,1.19
19,1.93,1.23
20,2.0,1.27
21,2.07,1.31
22,2.14,1.4
23,2.2,1.49
24,2.31,1.54
25,2.38,1.59
26,2.52,1.64
27,2.66,1.69
28,2.76,1.75
29,2.84,1.81
30,2.89,1.84
31,3.02,1.86
32,3.12,1.87
33,3.22,1.93
34,3.25,1.98
35,3.31,2.05
36,3.39,2.13
37,3.47,2.16
38,3.54,2.22
39,3.59,2.3
40,3.71,2.39
41,3.79,2.47
42,3.87,2.52
43,3.97,2.56
44,4.05,2.6
45,4.14,2.65
46,4.22,2.69
47,4.31,2.73
48,4.37,2.74
49,4.42,2.8
50,4.5,2.88
51,4.62,2.93
52,4.7,2.96
53,4.76,3.04
54,4.81,3.1
55,4.84,3.13
56,4.87,3.14
57,4.93,3.17
58,4.98,3.21
59,5.05,3.29
60,5.09,3.32
61,5.17,3.4
62,5.21,3.42
63,5.23,3.52
64,5.32,3.61
65,5.39,3.65
66,5.46,3.67
67,5.5,3.74
68,5.55,3.79
69,5.63,3.86
70,5.69,3.9
71,5.81,3.95
72,5.87,4.02
73,5.93,4.06
74,6.01,4.1
75,6.05,4.13
76,6.07,4.2
77,6.12,4.26
78,6.21,4.28
79,6.25,4.33
80,6.26,4.43
81,6.3,4.48
82,6.36,4.52
83,6.41,4.58
84,6.49,4.63
85,6.54,4.72
86,6.57,4.72
87,6.66,4.76
88,6.74,4.8
89,6.77,4.85
90,6.82,4.89
91,6.86,4.96
92,6.91,4.98
93,6.97,5.04
94,7.05,5.06
95,7.09,5.09
96,7.13,5.13
97,7.18,5.18
98,7.25,5.26
99,7.3,5.35
100,7.33,5.37
101,7.37,5.46
102,7.47,5.53
103,7.51,5.53
104,7.54,5.6
105,7.58,5.63
106,7.62,5.66
107,7.66,5.7
108,7.72,5.74
109,7.74,5.78
110,7.77,5.84
111,7.86,5.89
112,7.9,5.89
113,7.94,5.93
114,8.01,5.96
115,8.06,6.01
116,8.11,6.05
117,8.14,6.1
118,8.17,6.13
119,8.21,6.18
120,8.27,6.25
121,8.31,6.35
122,8.38,6.41
123,8.42,6.43
124,8.45,6.5
125,8.48,6.58
126,8.53,6.62
127,8.59,6.65
128,8.64,6.72
129,8.71,6.77
130,8.8,6.85
131,8.81,6.9
132,8.91,6.95
133,8.94,6.99
134,8.98,7.05
135,9.02,7.08
136,9.06,7.14
137,9.07,7.2
138,9.11,7.24
139,9.14,7.32
140,9.15,7.38
141,9.22,7.45
142,9.27,7.47
143,9.36,7.5
144,9.38,7.59
145,9.42,7.63
146,9.46,7.69
147,9.5,7.73
148,9.57,7.78
149,9.61,7.79
150,9.65,7.84
151,9.69,7.85
152,9.71,7.91
153,9.76,7.96
154,9.79,8.04
155,9.82,8.08
156,9.88,8.14
157,9.9,8.2
158,10.01,8.26
159,10.03,8.31
160,10.05,8.37
161,10.1,8.42
162,10.12,8.46
163,10.18,8.5
164,10.23,8.55
165,10.26,8.59
166,10.35,8.61
167,10.4,8.68
168,10.44,8.73
169,10.47,8.76
170,10.49,8.81
171,10.52,8.87
172,10.57,8.89
173,10.62,8.97
174,10.68,9.03
175,10.74,9.08
176,10.79,9.12
177,10.82,9.19
178,10.88,9.23
179,10.92,9.28
180,10.95,9.34
181,11.03,9.39
182,11.08,9.45
183,11.13,9.51
184,11.14,9.55
185,11.17,9.62
186,11.2,9.69
187,11.24,9.79
188,11.27,9.88
189,11.29,9.96
190,11.33,10.0
191,11.38,10.05
192,11.42,10.1
193,11.46,10.16
194,11.57,10.2
195,11.6,10.25
196,11.63,10.3
197,11.73,10.34
198,11.81,10.37
199,11.86,10.42
200,11.88,10.51
