iteration,lcb,rand
1,0.37,0.31
2,0.41,0.33
3,0.48,0.39
4,0.57,0.43
5,0.62,0.48
6,0.71,0.51
7,0.77,0.55
8,0.86,0.62
9,0.96,0.69
10,1.12,0.79
11,1.19,0.91
12,1.29,0.97
13,1.44,1.0
14,1.58,1.07
15,1.69,1.1
16,1.8,1.13
17,1.89,1.21
18,2.03,1.27
19,2.16,1.31
20,2.29,1.36
21,2.38,1.43
22,2.5,1.48
23,2.57,1.53
24,2.63,1.58
25,2.67,1.6
26,2.75,1.66
27,2.83,1.71
28,2.94,1.79
29,3.02,1.82
30,3.17,1.91
31,3.29,1.95
32,3.38,1.99
33,3.45,2.03
34,3.61,2.06
35,3.73,2.12
36,3.81,2.16
37,3.85,2.21
38,4.0,2.25
39,4.06,2.34
40,4.13,2.41
41,4.19,2.47
42,4.27,2.52
43,4.32,2.57
44,4.42,2.62
45,4.51,2.65
46,4.59,2.69
47,4.67,2.71
48,4.79,2.73
49,4.84,2.77
50,4.95,2.78
51,5.01,2.81
52,5.12,2.87
53,5.18,2.94
54,5.29,3.05
55,5.38,3.09
56,5.48,3.14
57,5.55,3.25
58,5.6,3.28
59,5.67,3.3
60,5.7,3.35
61,5.74,3.4
62,5.82,3.45
63,5.89,3.49
64,5.93,3.54
65,6.04,3.6
66,6.12,3.64
67,6.19,3.69
68,6.3,3.75
69,6.37,3.77
70,6.44,3.78
71,6.49,3.86
72,6.52,3.92
73,6.58,3.96
74,6.63,4.01
75,6.67,4.04
76,6.73,4.09
77,6.78,4.15
78,6.86,4.2
79,6.93,4.22
80,6.98,4.27
81,7.06,4.3
82,7.1,4.34
83,7.14,4.37
84,7.18,4.46
85,7.25,4.49
86,7.35,4.54
87,7.43,4.6
88,7.47,4.7
89,7.54,4.74
90,7.61,4.79
91,7.63,4.86
92,7.7,4.87
93,7.74,4.91
94,7.81,4.94
95,7.85,5.0
96,7.87,5.06
97,7.93,5.15
98,8.0,5.19
99,8.02,5.23
100,8.08,5.25
101,8.15,5.29
102,8.21,5.32
103,8.26,5.35
104,8.32,5.4
105,8.36,5.45
106,8.4,5.5
107,8.47,5.55
108,8.53,5.58
109,8.57,5.63
110,8.6,5.69
111,8.63,5.73
112,8.67,5.8
113,8.76,5.9
114,8.84,5.98
115,8.9,6.03
116,8.96,6.05
117,9.0,6.1
118,9.04,6.17
119,9.1,6.23
120,9.16,6.28
121,9.22,6.35
122,9.24,6.38
123,9.3,6.43
124,9.34,6.48
125,9.38,6.5
126,9.41,6.54
127,9.49,6.59
128,9.53,6.63
129,9.55,6.68
130,9.59,6.74
131,9.68,6.81
132,9.72,6.84
133,9.76,6.87
134,9.86,6.93
135,9.92,6.95
136,10.0,7.04
137,10.01,7.06
138,10.08,7.12
139,10.13,7.18
140,10.15,7.25
141,10.2,7.33
142,10.23,7.41
143,10.26,7.45
144,10.31,7.49
145,10.35,7.55
146,10.4,7.61
147,10.49,7.66
148,10.54,7.71
149,10.58,7.78
150,10.63,7.82
151,10.68,7.88
152,10.73,7.92
153,10.76,7.96
154,10.82,8.05
155,10.87,8.12
156,10.91,8.16
157,10.94,8.18
158,10.99,8.22
159,11.01,8.3
160,11.04,8.33
161,11.08,8.4
162,11.1,8.44
163,11.18,8.49
164,11.21,8.54
165,11.25,8.58
166,11.29,8.64
167,11.33,8.7
168,11.39,8.74
169,11.43,8.8
170,11.47,8.89
171,11.51,8.96
172,11.59,9.0
173,11.64,9.04
174,11.67,9.07
175,11.69,9.12
176,11.79,9.15
177,11.82,9.18
178,11.85,9.21
179,11.91,9.24
180,11.93,9.27
181,11.97,9.32
182,11.99,9.35
183,12.03,9.39
184,12.06,9.49
185,12.12,9.54
186,12.19,9.6
187,12.21,9.62
188,12.26,9.68
189,12.29,9.71
190,12.34,9.73
191,12.34,9.83
192,12.39,9.9
193,12.41,9.93
194,12.44,9.96
195,12.47,10.02
196,12.53,10.08
197,12.61,10.16
198,12.64,10.23
199,12.68,10.28
200,12.73,10.31
