iteration,lcb,ei,rand,
230,-1.525296617,2.00E-07,,-2.8265155
231,-1.592354375,1.85E-07,,-2.8741864
232,-1.624266426,1.65E-07,,-2.9484394
233,-1.652390058,1.59E-07,,-3.0322312
234,-1.696591508,1.52E-07,,-3.0720217
235,-1.699495063,1.33E-07,,-3.1761348
236,-1.748613905,1.23E-07,,-3.2940827
237,-1.780690263,1.10E-07,,-3.5092714
238,-1.806702795,9.82E-08,,-3.6107315
239,-1.844173552,8.63E-08,,-3.8967771
240,-1.858376267,7.61E-08,,-4.0958047
241,-1.915734538,6.54E-08,,-4.2998273
242,-2.036943087,6.11E-08,,-4.4611662
243,-2.136957828,5.05E-08,,-4.7098468
244,-2.230555338,4.34E-08,,-4.8954801
245,-2.341881972,3.75E-08,,-5.0806145
246,-2.385537656,2.65E-08,,-5.7479675
247,-2.511221009,1.68E-08,,-6.7291988
248,-2.779204213,6.34E-09,,-12.118916
249,-3.165894115,4.68E-09,,-8653.3221
250,-4.828284972,5.26E-09,,-1401.5073
251,-7.165749179,1.75E-08,,-196.04798
