,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dwave1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1,dstrength1
,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49,iter50,iter51,iter52,iter53,iter54,iter55,iter56,iter57,iter58,iter59,iter60,iter61,iter62,iter63,iter64,iter65,iter66,iter67,iter68,iter69,iter70,iter71,iter72,iter73,iter74,iter75,iter76,iter77,iter78,iter79,iter80,iter81,iter82,iter83,iter84,iter85,iter86,iter87,iter88,iter89,iter90,iter91,iter92,iter93,iter94,iter95,iter96,iter97,iter98,iter99,iter100,iter101,iter102,iter103,iter104,iter105,iter106,iter107,iter108,iter109,iter110,iter111,iter112,iter113,iter114,iter115,iter116,iter117,iter118,iter119,iter120,iter121,iter122,iter123,iter124,iter125,iter126,iter127,iter128,iter129,iter130,iter131,iter132,iter133,iter134,iter135,iter136,iter137,iter138,iter139,iter140,iter141,iter142,iter143,iter144,iter145,iter146,iter147,iter148,iter149,iter150,iter151,iter152,iter153,iter154,iter155,iter156,iter157,iter158,iter159,iter160,iter161,iter162,iter163,iter164,iter165,iter166,iter167,iter168,iter169,iter170,iter171,iter172,iter173,iter174,iter175,iter176,iter177,iter178,iter179,iter180,iter181,iter182,iter183,iter184,iter185,iter186,iter187,iter188,iter189,iter190,iter191,iter192,iter193,iter194,iter195,iter196,iter197,iter198,iter199,iter200,iter201,iter202,iter203,iter204,iter205,iter206,iter207,iter208,iter209,iter210,iter211,iter212,iter213,iter214,iter215,iter216,iter217,iter218,iter219,iter220,iter221,iter222,iter223,iter224,iter225,iter226,iter227,iter228,iter229,iter230,iter231,iter232,iter233,iter234,iter235,iter236,iter237,iter238,iter239,iter240,iter241,iter242,iter243,iter244,iter245,iter246,iter247,iter248,iter249,iter250,iter251,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49,iter50,iter51,iter52,iter53,iter54,iter55,iter56,iter57,iter58,iter59,iter60,iter61,iter62,iter63,iter64,iter65,iter66,iter67,iter68,iter69,iter70,iter71,iter72,iter73,iter74,iter75,iter76,iter77,iter78,iter79,iter80,iter81,iter82,iter83,iter84,iter85,iter86,iter87,iter88,iter89,iter90,iter91,iter92,iter93,iter94,iter95,iter96,iter97,iter98,iter99,iter100,iter101,iter102,iter103,iter104,iter105,iter106,iter107,iter108,iter109,iter110,iter111,iter112,iter113,iter114,iter115,iter116,iter117,iter118,iter119,iter120,iter121,iter122,iter123,iter124,iter125,iter126,iter127,iter128,iter129,iter130,iter131,iter132,iter133,iter134,iter135,iter136,iter137,iter138,iter139,iter140,iter141,iter142,iter143,iter144,iter145,iter146,iter147,iter148,iter149,iter150,iter151,iter152,iter153,iter154,iter155,iter156,iter157,iter158,iter159,iter160,iter161,iter162,iter163,iter164,iter165,iter166,iter167,iter168,iter169,iter170,iter171,iter172,iter173,iter174,iter175,iter176,iter177,iter178,iter179,iter180,iter181,iter182,iter183,iter184,iter185,iter186,iter187,iter188,iter189,iter190,iter191,iter192,iter193,iter194,iter195,iter196,iter197,iter198,iter199,iter200,iter201,iter202,iter203,iter204,iter205,iter206,iter207,iter208,iter209,iter210,iter211,iter212,iter213,iter214,iter215,iter216,iter217,iter218,iter219,iter220,iter221,iter222,iter223,iter224,iter225,iter226,iter227,iter228,iter229,iter230,iter231,iter232,iter233,iter234,iter235,iter236,iter237,iter238,iter239,iter240,iter241,iter242,iter243,iter244,iter245,iter246,iter247,iter248,iter249,iter250,iter251
run1,512.7763473,562.3120913,517.2905249,548.7968883,531.3911924,529.3492999,541.9837079,562.2610903,533.7244641,534.3455286,543.6710941,599.1890248,491.2989103,521.2266911,533.0819203,509.6567313,487.1103328,496.0756732,520.8325688,532.4866561,508.569642,532.1438388,549.6727833,503.8164615,528.8525551,516.2566331,518.393582,536.6119585,517.161062,573.4168579,531.0270388,549.2588181,515.9773316,529.8922686,540.3774103,535.5226029,531.9840085,514.8203837,546.715729,534.8757248,526.248697,519.5884377,539.4839136,501.3716406,524.6453665,543.4089806,542.1496043,521.1828703,531.8927199,534.7373114,523.9801919,516.3641373,520.0024872,537.2397652,507.3418161,503.0601031,515.4196342,548.1660315,542.8379729,552.8098494,474.4535168,534.0233149,537.3096122,549.0399124,569.4662549,524.6897715,531.4139686,515.6554359,552.8344986,550.0629681,548.0206551,533.013168,543.9573247,512.6067433,530.617962,548.7483093,552.4649898,539.225821,558.5125141,545.6810572,543.0995357,532.9902545,527.0092366,514.4785801,517.7441559,537.4726591,546.1618123,558.6886852,494.3745485,576.9927076,494.2760047,513.2433374,541.4866271,550.6982012,539.6013101,542.3156024,534.7142494,567.9532433,562.0571785,518.9794601,537.0768595,509.572944,525.0675179,520.7013272,497.409103,544.7938879,539.6717725,556.2074066,543.4327987,486.4605211,526.1816959,526.2710345,574.2401603,565.337618,492.1960818,491.3573218,533.4718515,496.4133288,512.5219834,553.3279467,542.4342346,552.2189249,576.0811867,590.9355751,549.088543,530.617962,594.4488326,564.1799828,534.3685588,538.827436,520.1770212,579.6633457,567.095975,550.3804014,543.7426235,527.5923107,609.49854,531.4139686,511.4015551,574.0540467,529.0556561,576.0008967,597.456597,510.8537001,599.1890248,640.8776647,560.4311938,533.1277649,579.8531148,501.4527523,553.3526422,556.2323599,531.2773408,513.4558869,530.3455942,551.7029013,560.8621777,591.5276384,532.0981632,521.7531162,534.4376612,548.0933337,552.6373658,544.8417693,561.166801,552.8344986,561.9298088,535.6382815,508.2360853,571.6982202,496.2742385,502.5910779,590.9637417,511.2961071,542.1258986,572.1467144,572.913419,537.8923775,547.1983097,579.6633457,551.0408578,565.0799554,577.1807319,501.3108241,604.712447,556.5819403,517.6360764,543.1709148,634.5148056,567.7451828,515.5267901,558.2610339,543.7187783,573.4964291,577.2613512,482.5789857,547.7059372,654.9268027,562.3120913,567.095975,516.5147184,524.1352484,532.8070177,544.0289294,589.5867279,547.7059372,574.2401603,490.2304892,532.2580622,530.6633839,551.5311077,515.2268659,488.1267441,635.1974641,630.5777287,548.0448792,544.3633343,625.6771953,572.6223583,585.7705424,557.7838448,687.6168433,573.7352754,585.4939224,563.231695,568.2656202,568.2135335,556.7568953,532.6467887,726.0728099,586.9352065,568.2656202,543.1233267,589.5306596,571.1188586,584.39005,594.9908485,572.5694699,567.4853214,650.7331812,726.0728099,584.39005,537.5891819,565.9828039,522.4346579,585.7705424,788.5530307,696.2665975,553.3526422,573.4964291,600.9606564,0.0068,0.0041,0.0121,0.0101,0.003,0.0066,0.003,0.0035,0.0023,0.0055,0.0039,0.002,0.0058,0.0041,0.0053,0.0046,0.0066,0.0077,0.0037,0.0048,0.0042,0.0048,0.0046,0.0089,0.0043,0.0048,0.0073,0.0047,0.0032,0.0037,0.0066,0.0031,0.0049,0.0067,0.0037,0.0052,0.005,0.0072,0.0044,0.005,0.0046,0.0053,0.0038,0.0119,0.004,0.0062,0.0044,0.006,0.0092,0.0051,0.0044,0.007,0.005,0.0029,0.0032,0.006,0.0059,0.0029,0.0064,0.0035,0.0053,0.003,0.0069,0.0078,0.0037,0.0027,0.0132,0.002,0.0226,0.0091,0.0074,0.0077,0.0051,0.0089,0.0069,0.0129,0.006,0.0029,0.0006,0.006,0.0027,0.0056,0.0065,0.003,0.0065,0.0081,0.002,0.0032,0.0102,0.0026,0.0052,0.0052,0.0034,0.0086,0.0195,0.0074,0.0028,0.0037,0.0025,0.0048,0.0036,0.0047,0.0021,0.0025,0.0087,0.0058,0.0049,0.0076,0.0009,0.0069,0.0046,0.0033,0.0067,0.0019,0.0062,0.0073,0.0066,0.006,0.0052,0.0069,0.0043,0.0038,0.0018,0.0021,0.0099,0.0069,0.0039,0.0024,0.0055,0.0027,0.0036,0.0022,0.0014,0.002,0.0068,0.0009,0.0008,0.0132,0.0044,0.0187,0.0067,0.0028,0.006,0.0071,0.002,0.0021,0.0034,0.0138,0.0031,0.0108,0.0023,0.0076,0.0059,0.006,0.0016,0.0016,0.0048,0.0008,0.0036,0.0057,0.0059,0.0057,0.0047,0.0018,0.0033,0.0226,0.0026,0.0023,0.0058,0.0068,0.0121,0.008,0.0071,0.003,0.007,0.0023,0.0235,0.0162,0.0024,0.0022,0.0024,0.0022,0.001,0.0052,0.0192,0.0024,0.0064,0.0045,0.001,0.0033,0.0022,0.0035,0.0068,0.0026,0.0154,0.0104,0.0068,0.0022,0.0021,0.0014,0.0031,0.0035,0.0033,0.0031,0.0014,0.0068,0.0067,0.0041,0.0023,0.0108,0.0235,0.0079,0.0071,0.0003,0.0109,0.0074,0.0107,0.0108,0.0029,0.0097,0.0023,0.0005,0.0014,0.0028,0.0022,0.0064,0.0029,0.0234,0.0035,0.0004,0.0019,0.0064,0.0045,0.0014,0.0025,0.0156,0.0036,0.0063,0.0076,0.0009,0.0004,0.0156,0.0214,0.001,0.0107,0.0097,0.0013,0.0019,0.0023,0.0026,0.0165
run2,496.0756732,523.9801919,549.6727833,487.1103328,526.248697,520.8325688,549.2588181,519.5884377,520.0024872,543.0995357,573.4168579,521.1828703,491.2989103,527.5923107,518.9794601,514.4785801,496.2742385,531.3911924,533.1277649,516.2566331,543.9573247,494.3745485,492.1960818,517.7441559,524.6897715,558.5125141,576.9927076,534.7373114,687.6168433,507.3418161,536.6119585,537.4726591,561.166801,532.9902545,532.1438388,528.8525551,512.7763473,542.3156024,546.1618123,531.8927199,515.6554359,530.617962,599.1890248,548.7483093,517.161062,542.1496043,562.2610903,531.9840085,532.4866561,508.569642,515.9773316,516.3641373,529.8922686,533.013168,521.2266911,524.6453665,543.4089806,534.8757248,537.2397652,539.4839136,531.2773408,512.5219834,553.3279467,567.9532433,496.4133288,533.4718515,537.0768595,540.3774103,550.6982012,552.8098494,546.715729,563.231695,609.49854,541.4866271,494.2760047,520.7013272,539.6013101,552.4649898,533.0819203,543.6710941,542.3156024,560.4311938,549.0399124,510.8537001,531.0270388,515.2268659,517.2905249,525.0675179,535.6382815,542.8379729,594.4488326,530.3455942,541.9837079,528.6045321,529.3492999,513.2433374,509.572944,533.7244641,534.3455286,597.456597,548.7968883,486.4605211,547.7059372,590.9355751,558.2610339,542.4342346,503.0601031,515.4196342,558.6886852,474.4535168,537.3096122,534.0233149,517.6360764,539.6717725,531.4139686,552.8344986,548.1660315,534.7142494,542.1258986,527.0092366,511.2961071,574.2401603,550.0629681,545.6810572,512.6067433,530.617962,537.8923775,544.8417693,543.7426235,509.6567313,567.095975,513.4558869,591.5276384,535.5226029,497.409103,544.7938879,526.1816959,526.2710345,574.2401603,511.4015551,604.712447,579.8531148,565.337618,561.9298088,531.4139686,529.0556561,560.8621777,576.0008967,502.5910779,585.4939224,515.5267901,516.5147184,567.095975,552.8344986,543.7187783,544.0289294,574.0540467,490.2304892,566.422372,572.913419,518.393582,552.2189249,501.4527523,562.3120913,539.225821,521.7531162,532.0981632,552.6373658,534.4376612,524.1352484,532.8070177,567.7451828,508.2360853,547.1983097,577.1807319,562.0571785,576.0811867,599.1890248,491.3573218,547.7059372,556.2074066,553.3526422,556.2323599,551.5311077,503.8164615,562.3120913,501.3108241,550.3804014,571.6982202,577.2613512,579.6633457,572.1467144,556.5819403,590.9637417,482.5789857,571.1188586,551.0408578,544.3633343,589.5867279,553.3526422,534.3685588,600.9606564,576.9927076,630.5777287,565.0799554,548.0448792,572.6223583,584.39005,635.1974641,573.4964291,557.7838448,543.1233267,634.5148056,585.7705424,564.1799828,654.9268027,538.827436,551.7029013,532.6467887,556.7568953,501.3716406,568.2135335,586.9352065,573.7352754,640.8776647,568.2656202,532.2580622,530.6633839,543.1709148,726.0728099,568.2656202,572.5694699,567.4853214,625.6771953,549.088543,589.5306596,594.9908485,543.4327987,537.5891819,522.4346579,488.1267441,650.7331812,584.39005,726.0728099,565.9828039,585.7705424,788.5530307,696.2665975,520.1770212,573.4964291,579.6633457,0.0077,0.0044,0.0046,0.0066,0.0046,0.0037,0.0031,0.0053,0.005,0.0027,0.0037,0.006,0.0058,0.0009,0.0048,0.003,0.0121,0.003,0.0138,0.0048,0.0051,0.0102,0.0062,0.0065,0.0027,0.0006,0.0026,0.0051,0.0005,0.0032,0.0047,0.0081,0.0033,0.0056,0.0048,0.0043,0.0068,0.0074,0.002,0.0092,0.002,0.0069,0.002,0.0129,0.0032,0.0044,0.0035,0.005,0.0048,0.0042,0.0049,0.007,0.0067,0.0077,0.0041,0.004,0.0062,0.005,0.0029,0.0038,0.0059,0.0052,0.0069,0.0037,0.006,0.0066,0.0036,0.0037,0.0086,0.0035,0.0044,0.0022,0.0008,0.0034,0.0052,0.0025,0.0195,0.006,0.0053,0.0039,0.0074,0.0034,0.0078,0.0071,0.0066,0.0079,0.0121,0.0021,0.0023,0.0064,0.0039,0.0016,0.003,0.005,0.0066,0.0052,0.0047,0.0023,0.0055,0.006,0.0101,0.0069,0.0068,0.0021,0.0035,0.0043,0.006,0.0059,0.0032,0.0053,0.0069,0.003,0.0064,0.0049,0.0132,0.0226,0.0029,0.0028,0.007,0.0065,0.003,0.0067,0.0091,0.006,0.0089,0.0069,0.0162,0.0018,0.0068,0.0046,0.0014,0.006,0.0008,0.0052,0.0087,0.0058,0.0046,0.0033,0.0067,0.0044,0.0192,0.0031,0.0019,0.0026,0.0132,0.0067,0.0048,0.0028,0.008,0.0028,0.0022,0.0031,0.0014,0.0226,0.0068,0.0031,0.0187,0.0041,0.0104,0.0235,0.0073,0.0038,0.0108,0.0041,0.0029,0.0057,0.0036,0.0047,0.0059,0.0035,0.0033,0.0033,0.0058,0.0024,0.001,0.0025,0.0018,0.002,0.0073,0.0068,0.0076,0.0023,0.0076,0.0235,0.0089,0.0021,0.0052,0.002,0.0068,0.0154,0.0022,0.0023,0.0024,0.0071,0.0104,0.0025,0.0024,0.0107,0.0014,0.0023,0.0055,0.0165,0.003,0.0109,0.0022,0.0074,0.0029,0.0156,0.0003,0.0026,0.0023,0.0045,0.001,0.0097,0.0024,0.0022,0.0027,0.0016,0.0035,0.0234,0.0119,0.0029,0.0019,0.0014,0.0021,0.0064,0.0023,0.0108,0.0045,0.0004,0.0064,0.0063,0.0076,0.0108,0.0099,0.0014,0.0036,0.0009,0.0214,0.0107,0.0071,0.0009,0.0156,0.0004,0.001,0.0097,0.0013,0.0019,0.0036,0.0026,0.0022
run3,539.225821,524.6897715,527.5923107,491.2989103,512.7763473,518.9794601,533.7244641,534.0233149,548.7483093,501.3108241,534.7373114,516.2566331,531.9840085,523.9801919,508.569642,503.8164615,507.3418161,542.8379729,537.0768595,508.2360853,531.8927199,530.617962,565.9828039,543.4327987,599.1890248,515.9773316,516.3641373,517.2905249,562.2610903,531.0270388,528.6045321,514.8203837,517.161062,522.4346579,542.1496043,552.4649898,503.0601031,528.8525551,552.8098494,530.617962,539.6013101,531.3911924,512.6067433,527.0092366,549.2588181,542.3156024,560.4311938,533.0819203,599.1890248,474.4535168,539.4839136,532.1438388,540.3774103,519.5884377,549.6727833,532.4866561,537.3096122,529.8922686,548.1660315,524.6453665,543.4089806,541.9837079,546.715729,536.6119585,533.013168,521.1828703,534.3455286,549.0399124,526.248697,534.8757248,514.4785801,537.4726591,520.8325688,537.2397652,531.4139686,534.7142494,552.8344986,546.1618123,525.0675179,509.572944,558.6886852,513.2433374,552.2189249,517.7441559,561.166801,539.6717725,486.4605211,543.9573247,520.7013272,567.9532433,535.6382815,558.5125141,541.4866271,550.6982012,569.4662549,543.6710941,494.3745485,511.4015551,544.3633343,579.8531148,526.1816959,526.2710345,574.2401603,544.7938879,491.3573218,542.4342346,576.9927076,510.8537001,549.088543,533.4718515,565.337618,502.5910779,590.9355751,492.1960818,532.9902545,520.0024872,556.2323599,542.3156024,497.409103,556.2074066,534.3685588,538.827436,579.6633457,576.0811867,604.712447,562.3120913,567.095975,509.6567313,550.3804014,529.3492999,550.0629681,531.4139686,529.0556561,576.0008967,561.9298088,597.456597,517.6360764,585.4939224,515.5267901,573.4168579,543.7187783,558.2610339,496.2742385,512.5219834,496.4133288,594.4488326,548.0206551,518.393582,572.1467144,571.6982202,513.4558869,530.3455942,591.5276384,567.095975,552.8344986,515.6554359,531.2773408,553.3279467,547.7059372,545.6810572,535.5226029,542.1258986,533.1277649,543.7426235,494.2760047,515.2268659,511.2961071,501.4527523,547.7059372,532.2580622,551.5311077,548.7968883,537.8923775,490.2304892,574.2401603,543.1233267,572.913419,566.422372,543.0995357,573.4964291,553.3526422,687.6168433,520.1770212,532.0981632,521.7531162,534.4376612,552.6373658,548.0933337,487.1103328,567.7451828,609.49854,560.8621777,547.1983097,551.0408578,577.1807319,516.5147184,524.1352484,532.8070177,544.0289294,574.0540467,496.0756732,589.5867279,543.1709148,634.5148056,556.5819403,557.7838448,562.3120913,634.5148056,579.6633457,577.2613512,482.5789857,548.0448792,654.9268027,562.0571785,576.9927076,630.5777287,584.39005,635.1974641,572.6223583,585.7705424,564.1799828,556.7568953,501.3716406,573.4964291,551.7029013,530.6633839,568.2135335,532.6467887,726.0728099,586.9352065,563.231695,625.6771953,568.2656202,568.2656202,589.5306596,571.1188586,640.8776647,594.9908485,572.5694699,567.4853214,488.1267441,650.7331812,726.0728099,584.39005,537.5891819,585.7705424,788.5530307,696.2665975,553.3526422,573.7352754,600.9606564,0.0029,0.0027,0.0009,0.0058,0.0068,0.0048,0.0023,0.003,0.0129,0.0052,0.0051,0.0048,0.005,0.0044,0.0042,0.0089,0.0032,0.0064,0.0036,0.0058,0.0092,0.0069,0.001,0.0009,0.002,0.0049,0.007,0.0121,0.0035,0.0066,0.005,0.0072,0.0032,0.0107,0.0044,0.006,0.006,0.0043,0.0035,0.0069,0.0195,0.003,0.0089,0.0065,0.0031,0.0074,0.0034,0.0053,0.002,0.0053,0.0038,0.0048,0.0037,0.0053,0.0046,0.0048,0.0069,0.0067,0.0029,0.004,0.0062,0.003,0.0044,0.0047,0.0077,0.006,0.0055,0.0078,0.0046,0.005,0.003,0.0081,0.0037,0.0029,0.0132,0.0028,0.0226,0.002,0.0021,0.0047,0.0032,0.0052,0.0038,0.0065,0.0033,0.0049,0.0069,0.0051,0.0025,0.0037,0.0023,0.0006,0.0034,0.0086,0.0037,0.0039,0.0102,0.0044,0.0107,0.0031,0.0046,0.0033,0.0067,0.0058,0.0073,0.0043,0.0026,0.0071,0.0099,0.0066,0.0019,0.008,0.0021,0.0062,0.0056,0.005,0.0076,0.0074,0.0087,0.0076,0.0055,0.0027,0.0022,0.0018,0.0192,0.0041,0.0014,0.0046,0.002,0.0066,0.0091,0.0132,0.0067,0.0028,0.0026,0.006,0.0064,0.0028,0.0022,0.0037,0.0068,0.0035,0.0121,0.0052,0.006,0.0039,0.0074,0.0073,0.0023,0.0068,0.006,0.0016,0.0008,0.0014,0.0226,0.002,0.0059,0.0069,0.0068,0.006,0.0052,0.007,0.0138,0.0068,0.0052,0.0079,0.003,0.0108,0.0068,0.0023,0.0235,0.0101,0.0162,0.0041,0.0067,0.0045,0.0235,0.0104,0.0027,0.0026,0.0023,0.0005,0.0036,0.0036,0.0057,0.0059,0.0047,0.0057,0.0066,0.0033,0.0008,0.0048,0.0024,0.0024,0.001,0.0031,0.0035,0.0033,0.0031,0.0187,0.0077,0.0014,0.0045,0.001,0.0024,0.0023,0.0021,0.001,0.0022,0.0154,0.0104,0.0074,0.0022,0.0025,0.003,0.0109,0.0156,0.0003,0.0029,0.0097,0.0024,0.0234,0.0119,0.0026,0.0016,0.0108,0.0029,0.0035,0.0004,0.0019,0.0022,0.0108,0.0064,0.0064,0.0014,0.0025,0.0021,0.0036,0.0063,0.0076,0.0071,0.0009,0.0004,0.0156,0.0214,0.0097,0.0013,0.0019,0.0023,0.0014,0.0165
