iteration,trial_1,trial_2
1,-1.2265608377234163,-0.9836032673591568
2,-0.9454187021586846,-0.8291300877042638
3,-0.9989721443890434,-0.8437779351856582
4,-0.9423721224793024,-0.8953936497042099
5,-0.9947678544015692,-0.874942321489525
6,-0.9440317310277828,-0.9055090265004303
7,-0.9608457302291405,-0.9470862312667085
8,-1.0066071665113483,-1.0026701682643062
9,-1.0890446676846932,-1.0249444081601435
10,-1.0836564513409412,-1.0643070786469524
11,-1.2184361769529122,-1.1358625637876243
12,-1.282270472953851,-1.1813546795289616
13,-1.3516733320364374,-1.248825581655996
14,-1.1482039832136517,-1.1497481917798644
15,-1.1621858507731855,-1.1925095349143364
16,-1.2566431511961458,-1.19023503124942
17,-1.1838777352366097,-1.1688207945700264
18,-1.0890408294678,-1.1472626304157805
19,-1.053913754707659,-1.1924750220030922
20,-1.0660847102966573,-1.1608607122105707
21,-1.090699713123315,-1.1731178092556367
22,-1.1000492815781566,-1.2080824846553124
23,-1.1253958470821261,-1.125281923994209
24,-1.16391520009456,-1.0335318288111741
25,-1.1342273173245034,-1.0334610197044933
26,-1.1516198369608281,-1.0421262819013553
27,-1.1932659039171398,-1.0891912800413657
28,-1.1985491064253233,-1.09136914766654
29,-1.2504992880893082,-1.1121645913597895
30,-1.244960909717871,-1.1475584609801475
31,-1.3454209338789784,-1.1497121544912092
32,-1.3852676402755952,-1.1641575996830522
33,-1.445458413090868,-1.177883266537627
34,-1.4506133582541136,-1.1887641285283232
35,-1.4813496531032078,-1.2077021718935215
36,-1.5370321336168795,-1.226644925570361
37,-1.5752358133648212,-1.2367876950553325
38,-1.618421247988324,-1.2214301909219243
39,-1.6255264495855415,-1.237483841905918
40,-1.6963320009208653,-1.2689411720086714
41,-1.7261117883945567,-1.2887513176450318
42,-1.7860904602036498,-1.2723295533601091
43,-1.8311828708610276,-1.2813921356758746
44,-1.8783796362435838,-1.2520502867872934
45,-1.8087597716328156,-1.2808640770713628
46,-1.8379592244223828,-1.2931956302512355
47,-1.8969672399527153,-1.3379504789840606
48,-1.942462991078804,-1.3745895208052585
49,-1.9819116840913422,-1.3900569233923494
50,-1.9943585736250549,-1.4100962641920587
51,-2.023889643042153,-1.423476435085078
52,-2.053385189259296,-1.4092311405196776
53,-2.0812617792013173,-1.420040355362362
54,-2.1148123003885346,-1.4508411508289714
55,-2.1618170850132157,-1.4622592268122483
56,-1.9421549490715115,-1.4806531485206527
57,-1.8309031315347293,-1.4883565627033504
58,-1.7659873895935074,-1.5211636668197834
59,-1.8221000216360745,-1.5435047518708982
60,-1.9165223580369026,-1.5750491629009205
61,-2.0122639433393084,-1.604790139793494
62,-1.8723926647922338,-1.6080291072447936
63,-1.89507002297968,-1.5618578907396403
64,-1.898971431415636,-1.6097745669563583
65,-1.9498800230705522,-1.6897887943881502
66,-1.9681525135916678,-1.603419555883446
67,-1.9849630341846831,-1.6209885792639893
68,-1.911231532303097,-1.666533520064973
69,-1.8054195972691771,-1.689685646808336
70,-1.5352173534825786,-1.719351736099651
71,-1.5733255352043483,-1.744414795031332
72,-1.6177607775110638,-1.7741417169218445
73,-1.6214949378859032,-1.832793946707151
74,-1.62546880466203,-1.8668505143356109
75,-1.6029522144162969,-1.8715440522718922
76,-1.6060522239476336,-1.8014967193499414
77,-1.6199525907234362,-1.7946337456056596
78,-1.6488612905389801,-1.8292045235664656
79,-1.664972044966218,-1.8326157852885754
80,-1.7028742793247327,-1.8440793420474337
81,-1.7333522050506251,-1.8566374194245188
82,-1.7601734374506115,-1.8658886987299323
83,-1.7628526212104234,-1.9130469996798591
84,-1.7821313281269415,-1.9295308195243865
85,-1.714029947478464,-1.9552845770294935
86,-1.685545924815241,-1.9789559988533452
87,-1.6995587576832563,-1.9921262264994533
88,-1.7072944584712697,-1.9501839870322204
89,-1.743178599092959,-1.9264779198067161
90,-1.7153257174363457,-1.9385924741215685
91,-1.760081848129575,-1.9593114294013527
92,-1.6914893447823485,-1.9751132251284766
93,-1.6688936337453504,-1.969452310540388
94,-1.6777040058948485,-1.9741490333327993
95,-1.7014073746158715,-1.9842846317463128
96,-1.725952259497413,-1.9955072889642127
97,-1.717861413395702,-1.9476076401348585
98,-1.7219421701307176,-1.8984420011981253
99,-1.7175632416620283,-1.8977914995944998
100,-1.7994437473343858,-1.8893903542141255
101,-1.7665509339216983,-2.0184402319271038
102,-1.774494501479102,-2.051233150451034
103,-1.7274476147420874,-2.0656090896001373
104,-1.7158618741350957,-2.0967265411090805
105,-1.7039765979491648,-2.147797545143837
106,-1.6062233210596548,-2.183083042388017
107,-1.6207058595522228,-2.205267950312134
108,-1.622499439879988,-2.1729297799070437
109,-1.6377481053887188,-2.1476220100916317
110,-1.647309362708498,-2.1755231644331676
111,-1.651268719267321,-2.060692379931399
112,-1.5566553814312385,-2.071989475089515
113,-1.5191377721242865,-2.080077328232376
114,-1.601261717417817,-2.049363584630583
115,-1.6373382598834476,-2.0526176110080505
116,-1.4797316500862085,-1.982679209082697
117,-1.3662946819491009,-1.8726805063132066
118,-1.354878494155487,-1.8783484206179752
119,-1.2705724911171088,-1.8812068869554086
120,-1.227069348150045,-1.8873031759303711
121,-1.2179721125569076,-1.873698968400462
122,-1.1473656544668867,-1.8489495985930775
123,-1.1198918698772222,-1.8572265742672465
124,-1.1117252405223612,-1.8585337589217392
125,-1.130304100477821,-1.867892402287378
126,-1.1456907723902139,-1.886907203138844
127,-1.1454786889985307,-1.8960526300733547
128,-1.1736273184073516,-1.9548461549468006
129,-1.2433328538411674,-1.9678802390707923
130,-1.2322762596466326,-1.9874318302956047
131,-1.2422133488352367,-2.008845822367432
132,-54.20099777883586,-2.050169237112963
133,-1124.5984794299513,-1.9750395765082716
134,-1128.221028582576,-2.054740563344374
135,-1142.8919384980893,-2.0716409092196812
136,-1160.1185267733017,-1.9679782678735227
137,-1177.3554152293782,-1.9835355390901985
138,-1122.896351600376,-1.8835576471165834
139,-1139.414849157825,-1.8437649770331475
140,-1150.0302044237264,-1.9222571959025871
141,-1146.983296208455,-1.8725409255276837
142,-1164.8030672189136,-1.9095996823544186
143,-1163.546875242993,-1.9620179852562565
144,-1136.8371270056366,-1.990399148570165
145,-1147.4089992509732,-1.9711657219629313
146,-1121.0715149998334,-1.9292732083821176
147,-1030.8730014762964,-1.9086583972513227
148,-1042.8823836728698,-1.9465700495336795
149,-1058.7325297744753,-1.9998315767578927
150,-1059.61813140903,-2.015303533950274
151,-1064.665600801722,-2.0722136612906263
152,-1079.911781621744,-2.058247235079866
153,-1095.0241619126916,-2.0107691929238656
154,-1112.8737941525228,-2.0522229008027244
155,-1125.768106822911,-2.0459669273420142
156,-1143.9743296423833,-2.0500722717290194
157,-1161.2288408658026,-2.0537586135401646
158,-1175.8968923851942,-2.0564933054176584
159,-1167.4974548569921,-2.038876554386619
160,-1187.0238513158592,-2.03928669007582
161,-1204.7578348106847,-2.067252757103183
162,-1225.4082335401447,-2.08141236473869
163,-1245.6584439031549,-2.1038843901999185
164,-1265.2433842121818,-2.13202712110566
165,-1286.749930655507,-2.1534007456914734
166,-1303.8765630115645,-2.1591670012314066
167,-1320.665140807299,-2.1458643878340107
168,-1338.199271323191,-2.161125020069654
169,-1362.0869820572234,-2.176568930217496
170,-1376.5208428977794,-2.17289986519813
171,-1389.4301587661525,-2.121917692647195
172,-1394.6027672693237,-2.1097582674153865
173,-1406.6824194634542,-2.130015461946555
174,-1402.8147491156572,-2.134084842905666
175,-1421.0452306513776,-2.1440888655054784
176,-1447.9142223325034,-2.1974798392356347
177,-1463.294656006718,-2.2346044558571543
178,-1473.8755944697941,-2.2693451680849295
179,-1501.1172818025282,-2.288523790463898
180,-1529.4481467766154,-2.229351221150721
181,-1540.5343516397197,-2.2363326265466585
182,-1569.338021437643,-2.173127998325775
183,-1593.0450034037715,-2.1916526924542064
184,-1608.3579447780462,-2.2184421641283922
185,-1624.4456482824999,-2.3959868748981252
186,-1607.997687878951,-2.4332879033151182
187,-1638.1656261519008,-2.4775447573040315
188,-1667.0412324962092,-2.5068630044159974
189,-1702.2840548982012,-2.5326584813061266
190,-1637.45751766689,-2.602367284160775
191,-1664.809505952613,-2.6167406268279274
192,-1694.4377108782944,-2.666581932474516
193,-1728.3410925032072,-2.7279812558697762
194,-1766.9415626959976,-2.763473645923232
195,-1794.422414942783,-2.8637988144658655
196,-1818.658352872914,-2.913335871606571
197,-1822.7819260456886,-3.024799057408606
198,-1865.210255761382,-3.0500739145609796
199,-1767.479582632037,-3.0735925661884607
200,-1805.6338036568193,-3.161797929385592
201,-1842.889670027132,-75.58041870392843
202,-1882.435125157581,-77.44832508459193
203,-1927.082294660491,-853.8691872638828
204,-1975.9963624397321,-871.5809511306908
205,-2027.580654789003,-860.7022010568523
206,-2054.1284509385937,-884.8163445758684
207,-2109.354120876855,-909.4005515676082
208,-2155.9709391211977,-932.570894913741
209,-2185.36704815483,-949.7196718190213
210,-2247.0478052104395,-941.0119526590619
211,-2311.071365019896,-973.5295356580792
212,-2373.2947405640803,-1007.2074536200096
213,-2436.7656074504903,-1038.7822120170808
214,-2475.1974718995857,-1034.7088301598137
215,-2437.8087409371,-1062.746377650409
216,-2418.536982309488,-1127.9358345928963
217,-2498.42308880302,-1113.41677531766
218,-2583.1200233186296,-1152.3112579299627
219,-2584.3761357732337,-1194.83224029685
220,-2665.1932353113293,-1239.0750446882284
221,-2738.8687598671368,-1273.6485477737688
222,-2839.9911503468174,-1317.967277748001
223,-2689.6161850141148,-1369.3613039039878
224,-4888.6651595312605,-1422.2178299977215
225,-5054.659306931547,-1922.1726988339783
226,-5263.917308347023,-1945.8436803230138
227,-5484.625590598986,-2035.474434230677
228,-5724.083863699946,-2139.9637736242553
229,-5977.461957941443,-2259.8023217166474
230,-6272.669360770634,-2374.167659414398
231,-5813.033228196747,-2243.403017312143
232,-6090.16570396464,-2375.232919812994
233,-6425.588208152388,-2512.121904653021
234,-6811.0594543099905,-2666.2815554056224
235,-7189.939787777448,-2785.3396698523457
236,-7654.362067761471,-2971.868722503165
237,-8147.681934829851,-3208.315729619658
238,-8690.689349240443,-3436.4818525519827
239,-9374.29951641938,-3714.1410198352164
240,-10180.356804384564,-3997.2851766159947
241,-10746.053484414038,-4381.187986606779
242,-10727.417225041174,-4792.8247347552815
243,-11907.498737847041,-5191.301472510686
244,-13416.913426279463,-5824.112499842328
245,-15377.677453914153,-6169.893622587739
246,-17979.268061802064,-7247.30268889072
247,-21565.21946918077,-8707.116851646782
248,-23144.78139023326,-9722.937008342089
249,-29392.333624247072,-12523.3014025973
250,-1045.7900504414863,-449.3231955439844
251,-33.53619385063895,-132.23230949345475
