iteration,lcb,ei,rand
1,0.42,0.4123076923076923,0.41384615384615386
2,0.4353846153846154,0.4230769230769231,0.41692307692307695
3,0.4476923076923077,0.4323076923076923,0.42153846153846153
4,0.45846153846153853,0.4384615384615384,0.4230769230769231
5,0.47846153846153855,0.4523076923076922,0.42769230769230765
6,0.48923076923076936,0.4569230769230769,0.4323076923076923
7,0.5030769230769231,0.466153846153846,0.4353846153846154
8,0.5153846153846156,0.4784615384615385,0.4369230769230769
9,0.5246153846153847,0.48769230769230776,0.4369230769230769
10,0.5384615384615387,0.5000000000000001,0.43846153846153846
11,0.550769230769231,0.5061538461538463,0.4461538461538461
12,0.5600000000000002,0.516923076923077,0.4461538461538461
13,0.5846153846153848,0.5230769230769232,0.45076923076923076
14,0.5953846153846156,0.5353846153846155,0.45538461538461533
15,0.607692307692308,0.5476923076923078,0.46153846153846145
16,0.6169230769230772,0.5584615384615387,0.46153846153846145
17,0.6292307692307696,0.5707692307692309,0.463076923076923
18,0.6415384615384618,0.5800000000000002,0.46461538461538454
19,0.653846153846154,0.5923076923076925,0.4676923076923076
20,0.6692307692307696,0.6061538461538464,0.47076923076923066
21,0.6800000000000003,0.6092307692307695,0.4738461538461538
22,0.6892307692307695,0.613846153846154,0.48153846153846147
23,0.7000000000000003,0.6184615384615387,0.48615384615384605
24,0.7076923076923081,0.6215384615384617,0.4907692307692307
25,0.7107692307692309,0.630769230769231,0.4938461538461537
26,0.7215384615384619,0.6323076923076925,0.4938461538461537
27,0.7369230769230773,0.6415384615384617,0.49538461538461526
28,0.747692307692308,0.6553846153846156,0.5015384615384614
29,0.7538461538461542,0.6600000000000001,0.5046153846153846
30,0.7569230769230773,0.6630769230769232,0.5092307692307692
31,0.7646153846153849,0.6676923076923079,0.5169230769230768
32,0.7723076923076926,0.6753846153846155,0.5199999999999999
33,0.7738461538461542,0.6846153846153848,0.5261538461538461
34,0.784615384615385,0.6892307692307693,0.5292307692307692
35,0.7892307692307696,0.6923076923076925,0.5307692307692308
36,0.7907692307692312,0.7030769230769232,0.5353846153846153
37,0.7938461538461543,0.7061538461538462,0.5399999999999999
38,0.8000000000000004,0.7107692307692309,0.5492307692307692
39,0.807692307692308,0.713846153846154,0.5523076923076923
40,0.8107692307692311,0.7169230769230771,0.5584615384615385
41,0.8123076923076927,0.7230769230769232,0.563076923076923
42,0.8215384615384619,0.727692307692308,0.5676923076923077
43,0.8292307692307694,0.7353846153846157,0.5707692307692307
44,0.8338461538461539,0.7446153846153849,0.5784615384615385
45,0.8369230769230769,0.7492307692307696,0.58
46,0.8384615384615386,0.7553846153846157,0.5846153846153846
47,0.8430769230769231,0.7615384615384619,0.5907692307692308
48,0.8461538461538461,0.7661538461538464,0.5953846153846156
49,0.8492307692307693,0.7692307692307695,0.5969230769230771
50,0.8523076923076924,0.7723076923076926,0.6046153846153849
51,0.8600000000000001,0.7723076923076926,0.6092307692307695
52,0.8600000000000001,0.7800000000000001,0.613846153846154
53,0.8615384615384617,0.7876923076923077,0.6169230769230771
54,0.8615384615384617,0.7892307692307693,0.6184615384615387
55,0.8615384615384617,0.7953846153846155,0.6261538461538464
56,0.8630769230769232,0.8000000000000002,0.6292307692307695
57,0.8646153846153847,0.8061538461538464,0.6338461538461541
58,0.8676923076923079,0.8092307692307695,0.6369230769230771
59,0.8692307692307694,0.8123076923076924,0.6384615384615386
60,0.8738461538461538,0.8184615384615386,0.6400000000000002
61,0.8784615384615385,0.8215384615384614,0.647692307692308
62,0.8784615384615385,0.8292307692307692,0.6507692307692311
63,0.8815384615384616,0.8338461538461537,0.6553846153846156
64,0.8815384615384616,0.8353846153846152,0.6569230769230772
65,0.8846153846153846,0.8399999999999999,0.6630769230769233
66,0.8876923076923076,0.8399999999999999,0.6646153846153848
67,0.8938461538461536,0.8446153846153844,0.6661538461538464
68,0.8984615384615382,0.8461538461538458,0.6707692307692311
69,0.8984615384615382,0.8553846153846151,0.6738461538461542
70,0.9015384615384613,0.8599999999999995,0.6769230769230772
71,0.9046153846153844,0.8646153846153843,0.6830769230769234
72,0.9092307692307691,0.8707692307692304,0.6861538461538464
73,0.9123076923076922,0.8784615384615381,0.6907692307692311
74,0.9123076923076922,0.8830769230769228,0.6938461538461541
75,0.9138461538461535,0.8861538461538458,0.7000000000000003
76,0.9169230769230766,0.8892307692307689,0.7030769230769232
77,0.9215384615384613,0.8907692307692304,0.7076923076923078
78,0.926153846153846,0.8953846153846152,0.7076923076923078
79,0.9307692307692307,0.9030769230769228,0.7138461538461539
80,0.9338461538461535,0.906153846153846,0.7169230769230771
81,0.9369230769230767,0.9107692307692306,0.7200000000000002
82,0.9384615384615382,0.9138461538461535,0.7246153846153848
83,0.9399999999999997,0.9199999999999997,0.7276923076923079
84,0.9446153846153844,0.9292307692307691,0.7307692307692311
85,0.9476923076923075,0.9353846153846154,0.7323076923076925
