iteration,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
1,-0.3717587878000537,-0.2928688338691697,-0.2720143312382061,-0.3358475834607412,-0.29740142091258465,-0.27742711720314533,-0.2206750448440832,-0.42765544142881656,-0.26475789369024616,-0.21841507298350937
2,-0.28094301075400496,-0.2453679070087503,-0.28791870519965423,-0.4116259733134315,-0.2560421939248965,-0.30747956276934224,-0.21814677920557599,-0.4334743143777353,-0.2734257419029303,-0.2640175618420644
3,-0.2977043350004847,-0.250209051481642,-0.29407839918342266,-0.33897558609053857,-0.2620367588134708,-0.2827640199110314,-0.2153428188340015,-0.4070400583335716,-0.2885401969669175,-0.24591268999580373
4,-0.280011864250953,-0.2668127789927948,-0.31978508899920827,-0.3623623647346468,-0.260975413613902,-0.2703750572916163,-0.2158029692743611,-0.34472611783733553,-0.3131532685017153,-0.2412538189993975
5,-0.29639352124451745,-0.2611153112764213,-0.26908868043337697,-0.2887643276421963,-0.2536385889612142,-0.2552519283284352,-0.21634054877059083,-0.3684405496382188,-0.25619000203814307,-0.24926837066595545
6,-0.28055850390473897,-0.2720778657245919,-0.24198101657124302,-0.2605801702844901,-0.23394749308387505,-0.2599584727197279,-0.21660080875449944,-0.3079993722057117,-0.2565937105301119,-0.24045018259055043
7,-0.28594649598678323,-0.28759980512044797,-0.2426147076190512,-0.253818705489168,-0.24333148280680614,-0.2763670494862368,-0.21700652480802485,-0.2975422955302806,-0.26448635384860475,-0.23866105090467402
8,-0.3009510895307334,-0.3074451962171942,-0.25614108580722933,-0.24244223459072647,-0.24413157627664356,-0.2670166916032577,-0.21787583854579962,-0.2727910508364378,-0.26611479358405127,-0.23681929147757755
9,-0.32824604651322037,-0.3167287993682884,-0.2680713801850944,-0.24423171005205643,-0.24855868931356226,-0.27277276789892213,-0.21920162917764696,-0.25910168977418396,-0.2766188326107162,-0.24472952677560245
10,-0.3272216648027078,-0.3331573459476655,-0.23630175394079114,-0.24439272165219922,-0.255840420845752,-0.2720454055655107,-0.22495476379602986,-0.2618839508582895,-0.2600972000233572,-0.24038721471271937
11,-0.3764126822509077,-0.3601974958288325,-0.23089651200776548,-0.23908432378550815,-0.25877922564064,-0.2659142224357666,-0.2282207917227567,-0.2732972622194593,-0.2674038158901605,-0.24287441590067171
12,-0.4004746183302339,-0.37300542505897016,-0.23541624075247547,-0.23771954446816365,-0.2698701993846105,-0.2737203960468434,-0.23490332809097328,-0.3044327988461884,-0.24008041358775464,-0.2461432281374212
13,-0.42203154160893513,-0.40069870696287957,-0.23647836794066826,-0.23495230751020799,-0.2763080411178493,-0.2732465150693677,-0.2368694315722744,-0.329593089010181,-0.25929826479422435,-0.24355338280153935
14,-0.3499169962581573,-0.36344524092528635,-0.24278135683677063,-0.23386271740388584,-0.27716190435060983,-0.2848604835690803,-0.23862095977233952,-0.37602892889879835,-0.24818506857919267,-0.246276347618608
15,-0.3551252265949464,-0.37948398977570175,-0.24728740822004286,-0.23355787822836174,-0.28891105787218385,-0.2906496828437275,-0.24049481390983213,-0.3949045790143928,-0.28957650300335475,-0.24937041460567652
16,-0.38963781646696355,-0.3793499844668196,-0.24333172313887624,-0.23433564970902512,-0.29721365655297094,-0.28434881427105185,-0.2500727159895108,-0.36908299713178083,-0.3073771386571926,-0.25676286973700874
17,-0.36493911655079536,-0.37120087080620595,-0.23540130778764876,-0.23346121012987386,-0.3054058316695501,-0.2899473314261578,-0.26058354329855077,-0.3718062605159588,-0.3160793239727826,-0.2513934557457585
18,-0.33205364854190933,-0.36275061660941027,-0.2324624259995339,-0.23332646203046706,-0.3106408581421421,-0.28389242011404886,-0.26399243949505047,-0.31319178395088637,-0.32664501710941457,-0.2481500732997401
19,-0.3207709988918688,-0.3805282664274516,-0.23327214862426682,-0.23040074086071138,-0.32028938334154033,-0.28626775480067307,-0.28687218401354175,-0.30517262377761706,-0.33451159452378887,-0.2502526443838312
20,-0.3254149443948808,-0.36838083933141935,-0.23771827614029364,-0.23287638419687942,-0.3330018628032644,-0.2860323472664749,-0.3008704969286758,-0.31383750845447184,-0.3304224915357245,-0.24648042560086897
21,-0.33432252193095296,-0.37422667944634597,-0.2316479556817884,-0.23201119681903865,-0.34539399433042645,-0.27568260579452614,-0.3172084662218564,-0.3128597777898104,-0.3445795265113133,-0.24727131668711727
22,-0.3378623745713166,-0.3880276209316856,-0.23112864342911746,-0.23503929827645353,-0.3469365701013172,-0.2710862824474307,-0.33398824292478857,-0.3019251080324585,-0.35635820909152066,-0.24948509584400624
23,-0.3471679276776665,-0.3555911001197897,-0.23210583615665467,-0.24329442362968356,-0.3513955058972636,-0.27676684459854095,-0.36531377180713187,-0.3016411443814658,-0.3704454039085213,-0.25140124066431896
24,-0.36133941669582714,-0.3216128718866591,-0.24527939304944554,-0.2668501330284787,-0.35313139465107374,-0.2767706390206656,-0.3862793456410038,-0.3138526643452547,-0.3785538863170234,-0.248308034219805
25,-0.3512381252672962,-0.32182663076197954,-0.24986193937418927,-0.2627467838429202,-0.36196312164176586,-0.27171974730407017,-0.4027462443977798,-0.3253240117769531,-0.3923058566630123,-0.24178464210311296
26,-0.357983207554667,-0.3255483282585462,-0.25982238813484226,-0.26757809528692117,-0.37473301100650486,-0.27251118925004747,-0.42239140212726356,-0.32885202138411473,-0.40642178257979056,-0.24390708074449258
27,-0.374044670297008,-0.3431706660215741,-0.25828150933152644,-0.26532534419724463,-0.3845786891198679,-0.26775698846694623,-0.43686699155735687,-0.3361889698412051,-0.42050714208776035,-0.2440251997361261
28,-0.37608307375735744,-0.34132134589796376,-0.25732377024885594,-0.2652194824785882,-0.40224345825100194,-0.26573295030820016,-0.4436925268893833,-0.3230068213711226,-0.4250227461569417,-0.24677766391343645
29,-0.3958584397587053,-0.34930540551633193,-0.25372706501972514,-0.2661885877559389,-0.41426729873236184,-0.2657611844185684,-0.4709028310011488,-0.3321140810181866,-0.3983787765902746,-0.24744256153348446
30,-0.3938687004561425,-0.36116850024055713,-0.25915051992490745,-0.2653501093707733,-0.448703577520018,-0.2713660983492721,-0.48965778795369547,-0.34155568214121507,-0.4107303538256831,-0.2498667555777627
31,-0.42834511867640324,-0.3622991256502713,-0.26063159508369454,-0.26564992635120194,-0.44477874323750843,-0.26765724463152973,-0.49048988544095484,-0.3088266486768686,-0.4282123750438309,-0.26047841910742114
32,-0.4441884740641334,-0.3679269672231833,-0.2631689007235862,-0.27651014140844377,-0.45870939102798336,-0.27147231454468895,-0.5080888953880006,-0.3368030630041076,-0.40183521519035753,-0.2681371856971318
33,-0.46813115750068274,-0.37327171557866584,-0.2627996066384823,-0.2777727244971633,-0.48637357237885287,-0.27227648928293197,-0.5250518067919483,-0.3475247910467136,-0.4206133369885394,-0.2833373856214953
34,-0.46993788167795786,-0.37683938530205,-0.26220098229435085,-0.2797203528653858,-0.3779697160323088,-0.27358075430224976,-0.5419125528799491,-0.35494718658928587,-0.42752399207401115,-0.29533171169815087
35,-0.4822319231170655,-0.38412426378709064,-0.26289087208055995,-0.27973448217420627,-0.3851442503268469,-0.27097132043944255,-0.572142478786528,-0.36857879360031126,-0.4400797309680167,-0.30188142123486245
36,-0.5048895654013178,-0.3914635333423811,-0.2688231525555244,-0.2816370458533906,-0.39080149102899137,-0.2745308691746618,-0.5961863942201153,-0.3798797484187346,-0.4274913520564574,-0.3106075497445378
37,-0.5209529256651957,-0.39561933027061413,-0.27255359414739777,-0.2815702729200869,-0.2895895934994179,-0.27832970796894724,-0.6170542978324026,-0.38122487621972945,-0.44670015270430535,-0.3210293961273545
38,-0.5392945977674365,-0.3887797496045911,-0.2647312876666163,-0.2836086026894722,-0.2957668991689584,-0.27811407332169363,-0.7040291528581913,-0.4061444922143938,-0.4605403198188355,-0.3286963446576588
39,-0.5418774712402662,-0.39512316004452674,-0.2680445279220678,-0.2870832363261954,-0.3234051294615291,-0.28070288147591105,-0.7119258817760408,-0.4041318586622588,-0.47573867176439927,-0.3414445421407062
40,-0.5720225254627669,-0.40739380567326633,-0.27430170131444664,-0.28903030307959515,-0.3323016679731784,-0.28366412205584,-0.7314718863764051,-0.3992806247323514,-0.4854266425580177,-0.3532067446771165
41,-0.5850474527720837,-0.41507831087651986,-0.278299224273894,-0.28637216394823367,-0.34014655857219794,-0.2837714200180679,-0.7533278626627329,-0.4060166451525844,-0.48455922287381953,-0.36013395790500846
42,-0.6117518477924726,-0.40954079069178434,-0.28618567813265067,-0.28991985177070934,-0.35086070094496097,-0.28556807797298306,-0.7702962839790668,-0.41014643313783977,-0.49214787940717963,-0.36729017918931106
43,-0.6318400885913062,-0.41337856315701366,-0.29100562188715395,-0.29246343886185333,-0.3800629939834721,-0.286935775344415,-0.7886294259073754,-0.4226999793828802,-0.5036911139498931,-0.3782561523761499
44,-0.6530863633967331,-0.40451652116741676,-0.2941338776129532,-0.29437226313263476,-0.3753655327168932,-0.27509334303548805,-0.7917898405879811,-0.44152569531746055,-0.5291206894819205,-0.3949403054849822
45,-0.6209649648441302,-0.41513374609097703,-0.3005435986878706,-0.29424904315575695,-0.385315647131249,-0.2761019856631545,-0.777123432131867,-0.4565833977143083,-0.5253319604798982,-0.4143936448819354
46,-0.634168855496543,-0.42059404453711163,-0.3120477406736103,-0.29529067360466754,-0.39701165853389647,-0.27545069639365216,-0.8483005279462679,-0.4671899978060652,-0.5424109546035429,-0.41145068814076163
47,-0.6612815183422792,-0.4395807112378713,-0.33357557809046046,-0.2982092086125221,-0.40659584425707146,-0.2772666152370984,-0.8850563643682202,-0.47273759643613456,-0.5442004180384202,-0.45804511098604034
48,-0.6822743455727214,-0.455244830320954,-0.3660312779498301,-0.30035960468705064,-0.42106834738963445,-0.27782514636665,-0.8550413235407369,-0.48257086277708594,-0.5630992809324543,-0.4309169143367881
49,-0.7004213502261318,-0.4622371471934247,-0.3805847774755572,-0.30202402400742356,-0.4191824026333463,-0.27959103662421275,-0.884323059924222,-0.48602621488848785,-0.5901558908785625,-0.44946964161059555
50,-0.7050566205017019,-0.47078310999641504,-0.3486862479424217,-0.30562720757629,-0.4212980462818203,-0.2795913977850287,-0.9407573019282375,-0.46802980236946884,-0.601866268051128,-0.4834748347211178
51,-0.7184604044731261,-0.47697032012004,-0.3289469194971941,-0.30663678667014166,-0.43352616145531436,-0.2814890152779629,-0.9689510365390447,-0.48236208440744743,-0.6102438551602682,-0.49978187503737936
52,-0.7321435976556989,-0.47127889184814664,-0.3291681250270902,-0.3083350354480243,-0.4421355885787769,-0.28601834805478754,-0.9950521373440979,-0.4915522476350492,-0.6166095397864553,-0.48935689701634777
53,-0.7440771832811416,-0.47506894722368925,-0.33023086848740046,-0.31349432343372413,-0.45307067727793465,-0.29114115860045053,-1.014833493348709,-0.5005804890216773,-0.6318093614382535,-0.5109228881860568
54,-0.7598030691183164,-0.4878734031606165,-0.3333325859721554,-0.3077969512670775,-0.46560070910646917,-0.2945216185239717,-1.0521521681567523,-0.5184270998143343,-0.663296280684464,-0.5133069304126521
55,-0.7815039626321993,-0.4927834854151097,-0.3368341015345885,-0.30710808346738044,-0.5152993139758897,-0.2985290443922655,-1.0727069209075741,-0.5324181578835693,-0.6912661901658771,-0.5294385780013559
56,-0.6820111208721236,-0.5008031606963836,-0.33900486513706574,-0.3094388923818649,-0.5318520849627552,-0.29981884877415316,-1.1188762772132983,-0.5442562715792078,-0.712352668837429,-0.5460428200734544
57,-0.6344238410637143,-0.5042374009408594,-0.3449265118117003,-0.31235589892289567,-0.5438891503594945,-0.30562567617579683,-1.0634016655629903,-0.5685810534589917,-0.7251356935973745,-0.5694543967311371
